Student ID,Course ID,Subject,Catalog,Section,Status,Crs Descr,Stat Dt,Add Dt,Drop Dt,Unit Taken,Start_1,Srt1 AM/PM,End 1,End 1 AMPM,Days 1,Facil ID 1,Term,Term Descr,Instructor ID
3417643,004355,GERM,B001,001,E,Elementary German,4/8/2013,4/8/2013,,1.00,9:00:00 AM, 9:00 AM,10:00:00 AM,10:00 AM,MWF,DAL25,1310,Fall 2013,0847593
3417643,015865,EDUC,B210,001,E,Special Education,4/8/2013,4/8/2013,,1.00,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,M,TAYE,1310,Fall 2013,3476032
3464954,005847,LATN,B110,001,E,Intermediate Latin,4/8/2013,4/8/2013,,1.00,11:00:00 AM,11:00 AM,12:00:00 PM,12:00 PM,MWF,TH102,1310,Fall 2013,0031582
3464954,007010,POLS,B250,001,E,Intro to International Politic,4/8/2013,4/8/2013,,1.00,12:45:00 PM,12:45 PM,2:15:00 PM, 2:15 PM,TTH,DAL300,1310,Fall 2013,0162976
3464954,013613,ECON,B200,001,E,Intermediate Microeconomics,4/8/2013,4/8/2013,,1.00,8:15:00 AM, 8:15 AM,9:45:00 AM, 9:45 AM,TTH,TH110,1310,Fall 2013,0492580
3480592,007380,PSYC,B212,001,E,Human Cognition,4/8/2013,4/8/2013,,1.00,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,MW,DAL212A,1310,Fall 2013,0987494
3480592,014534,PSYC,B250,001,E,Autism Spectrum Disorders,4/8/2013,4/8/2013,,1.00,8:15:00 AM, 8:15 AM,9:45:00 AM, 9:45 AM,TTH,BYC127,1310,Fall 2013,0031631
3481664,001844,BIOL,B220,001,E,Ecology,4/8/2013,4/8/2013,,1.00,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,MW,PK259,1310,Fall 2013,3926311
3481664,001894,BIOL,B394,001,E,Sr Sem: Evolution Dev Biology,4/8/2013,4/8/2013,,1.00,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,M,PK10,1310,Fall 2013,3483424
3481664,013918,ITAL,B255,001,E,Uomini d'onore in Sicilia:,4/8/2013,4/8/2013,,1.00,12:45:00 PM,12:45 PM,2:15:00 PM, 2:15 PM,TTH,CARP15,1310,Fall 2013,3392421
3483042,001753,ARTT,B255,001,E,Fundamentals Costume Design,4/8/2013,4/8/2013,,1.00,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,T,ROSTUD,1310,Fall 2013,3896859
3483059,001767,ARTW,B264,001,E,News and Feature Writing,4/8/2013,4/8/2013,,1.00,7:00:00 PM, 7:00 PM,10:00:00 PM,10:00 PM,T,EHII,1310,Fall 2013,3474008
3483059,008770,SPAN,B102,002,E,Intermediate Spanish II,4/8/2013,4/8/2013,,1.00,9:45:00 AM, 9:45 AM,11:15:00 AM,11:15 AM,TTH,TH111,1310,Fall 2013,3194197
3483059,015246,PSYC,B224,001,E,Cross-Cultural Psychology,4/8/2013,4/8/2013,,1.00,12:45:00 PM,12:45 PM,2:15:00 PM, 2:15 PM,TTH,TH224,1310,Fall 2013,0820103
3483977,002472,CITY,B398,001,E,Senior Seminar,4/8/2013,4/8/2013,,1.00,2:00:00 PM, 2:00 PM,4:00:00 PM, 4:00 PM,T,TH111,1310,Fall 2013,0493725
3483977,014969,CITY,B329,001,E,Adv Topics in Urban Enviromts,4/8/2013,4/8/2013,,1.00,2:00:00 PM, 2:00 PM,4:00:00 PM, 4:00 PM,TH,DAL1,1310,Fall 2013,0493725
3483977,015501,CITY,B201,001,E,Intro to GIS/Enviro Analysis,4/8/2013,4/8/2013,,1.00,8:15:00 AM, 8:15 AM,9:45:00 AM, 9:45 AM,TTH,DAL20,1310,Fall 2013,1168592
3489089,002160,CHEM,B211,001,E,Organic Chemistry I,4/8/2013,4/8/2013,,1.00,10:00:00 AM,10:00 AM,11:00:00 AM,11:00 AM,MWF,PK25,1310,Fall 2013,1083806
3489089,008427,SOCL,B205,001,E,Social Inequality,4/8/2013,4/8/2013,,1.00,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,MW,DAL300,1310,Fall 2013,4177943
3489089,008500,SOCL,B398,001,E,Senior Conference,4/8/2013,4/8/2013,,1.00,12:00:00 PM,12:00 PM,2:00:00 PM, 2:00 PM,F,DAL25,1310,Fall 2013,0031619
3491953,001473,ARCH,B398,001,E,Senior Seminar,4/8/2013,4/8/2013,,1.00,12:00:00 PM,12:00 PM,2:00:00 PM, 2:00 PM,F,CARP15,1310,Fall 2013,3555417
3491953,002160,CHEM,B211,001,E,Organic Chemistry I,4/8/2013,4/8/2013,,1.00,10:00:00 AM,10:00 AM,11:00:00 AM,11:00 AM,MWF,PK25,1310,Fall 2013,1083806
3491953,002160,CHEM,B211,00B,E,Organic Chemistry I,4/8/2013,4/8/2013,,0.00,2:00:00 PM, 2:00 PM,5:30:00 PM, 5:30 PM,T,PK179,1310,Fall 2013,0301910
3491953,004306,GEOL,B399,001,E,Senior Capstone Seminar,4/8/2013,4/8/2013,,0.50,12:00:00 AM,,12:00:00 AM,,,,1310,Fall 2013,3092832
3491953,011865,GEOL,B350,001,E,Adv Topics in Geology,4/8/2013,4/8/2013,,1.00,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,W,PK200,1310,Fall 2013,3646542
3493764,005310,HIST,B398,001,E,Senior Thesis,4/8/2013,4/8/2013,,1.00,12:00:00 PM,12:00 PM,2:00:00 PM, 2:00 PM,M,TH223,1310,Fall 2013,1020104
3496673,004279,GEOL,B202,001,E,Mineralogy/Crystal Chemistry,4/8/2013,4/8/2013,,1.00,9:00:00 AM, 9:00 AM,10:00:00 AM,10:00 AM,MWF,PK200,1310,Fall 2013,3818521
3497993,001899,BIOL,B399,001,E,"Sr Seminar, Lab Investigations",4/8/2013,4/8/2013,,0.50,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,M,PK259,1310,Fall 2013,0409956
3497993,015830,FREN,B275,001,E,Improving Mankind,4/8/2013,4/8/2013,,1.00,9:45:00 AM, 9:45 AM,11:15:00 AM,11:15 AM,TTH,EHI,1310,Fall 2013,3646540
3521001,001839,BIOL,B201,001,E,Genetics,4/8/2013,4/8/2013,,1.00,11:15:00 AM,11:15 AM,12:45:00 PM,12:45 PM,TTH,PK229,1310,Fall 2013,0898918
3521001,002160,CHEM,B211,001,E,Organic Chemistry I,4/8/2013,4/8/2013,,1.00,10:00:00 AM,10:00 AM,11:00:00 AM,11:00 AM,MWF,PK25,1310,Fall 2013,1083806
