Student ID,Course ID,Subject,Catalog,Section,Status,Crs Descr,Stat Dt,Add Dt,Drop Dt,Unit Taken,Start_1,Srt1 AM/PM,End 1,End 1 AMPM,Days 1,Facil ID 1,Term,Term Descr,Instructor ID
0197361,006034,MATH,B206,001,E,Transition to Higher Math.,1/14/2008,1/22/2008,,1.00,10:00:00 AM,10:00 AM,11:00:00 AM,11:00 AM,MWF,PK338,0800,Spring 2008,0213446
0700408,008469,SOCL,B265,001,E,Research Design & Stat Analys,11/5/2007,11/5/2007,,1.00,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,MW,DAL119,0800,Spring 2008,3420576
0750570,008770,SPAN,B102,003,E,Intermediate Spanish,2/7/2008,1/29/2008,,1.00,10:00:00 AM,10:00 AM,11:00:00 AM,11:00 AM,MWF,TAYF,0800,Spring 2008,0431786
0825970,013274,ENGL,B303,001,E,Piers Plowman,1/24/2008,1/24/2008,,1.00,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,W,BYC127,0800,Spring 2008,3443571
1005451,008784,SPAN,B211,001,E,Borges y sus lectores,1/28/2008,1/28/2008,,1.00,7:00:00 PM, 7:00 PM,10:00:00 PM,10:00 PM,T,CARP25,0800,Spring 2008,0031572
1086489,009225,ARTW,B159,001,E,Intro to Creative Writing,1/22/2008,1/22/2008,,1.00,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,TTH,EHI,0800,Spring 2008,1061058
1089147,004356,GERM,B002,001,E,Elementary German,2/5/2008,1/29/2008,,1.00,9:00:00 AM, 9:00 AM,10:00:00 AM,10:00 AM,M-F,TAYB,0800,Spring 2008,0847593
1170820,002569,CMSC,B246,001,E,Programming Paradigms,11/15/2007,11/15/2007,,1.00,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,MW,PK337,0800,Spring 2008,1168490
1170820,003573,ENGL,B399,001,E,Senior Essay,1/22/2008,1/22/2008,,1.00,12:00:00 AM,,12:00:00 AM,,,,0800,Spring 2008,0995587
1170820,006504,PHIL,B201,001,E,Hist Intro Philosophy: Modern,12/13/2007,12/13/2007,,1.00,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,TTH,TH251,0800,Spring 2008,0031399
1170820,013170,ENGL,B270,001,E,American Girl:,11/15/2007,11/15/2007,,1.00,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,MW,TH104,0800,Spring 2008,3092941
3069495,003424,ENGL,B214,001,E,Here & Queer:Placing Sexuality,11/7/2007,11/7/2007,,1.00,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,MW,EHLEC,0800,Spring 2008,3393009
3069495,008484,SOCL,B309,001,E,Sociology of Religion,11/7/2007,11/7/2007,,1.00,2:00:00 PM, 2:00 PM,4:00:00 PM, 4:00 PM,M,TAYB,0800,Spring 2008,3420576
3069495,011834,RUSS,B223,001,E,Russian & E European Folklore,1/28/2008,1/28/2008,,1.00,1:00:00 PM, 1:00 PM,3:30:00 PM, 3:30 PM,W,TAYF,0800,Spring 2008,0470839
3073525,001837,BIOL,B102,003,E,Intro Bio II: Orgs to Pops,7/25/2007,11/1/2007,,1.00,10:00:00 AM,10:00 AM,11:00:00 AM,11:00 AM,MWF,PK25,0800,Spring 2008,3452118
3073525,002161,CHEM,B212,002,E,Organic Chemistry II,7/25/2007,11/1/2007,,1.00,11:00:00 AM,11:00 AM,12:00:00 PM,12:00 PM,MWF,PK180,0800,Spring 2008,1083806
3073525,006847,PHYS,B102,001,E,Introductory Physics II,7/25/2007,11/1/2007,,1.00,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,TTH,PK243,0800,Spring 2008,3427120
3090066,007087,POLS,B327,001,E,Pol Philosophy 1950-Present,11/5/2007,11/5/2007,,1.00,7:00:00 PM, 7:00 PM,9:30:00 PM, 9:30 PM,T,DAL25,0800,Spring 2008,0031573
3090066,007128,POLS,B399,001,E,Senior Essay,11/5/2007,11/5/2007,,1.00,3:00:00 PM, 3:00 PM,4:00:00 PM, 4:00 PM,TH,DAL25,0800,Spring 2008,3198619
3090066,010968,EAST,B325,001,E,Topics in Chinese Hist & Cult,11/5/2007,11/5/2007,,1.00,1:00:00 PM, 1:00 PM,3:30:00 PM, 3:30 PM,W,DAL10,0800,Spring 2008,3473827
3090066,011534,SOCL,B267,001,E,Dev of Modern Japanese Nation,11/6/2007,11/6/2007,,1.00,10:00:00 AM,10:00 AM,11:30:00 AM,11:30 AM,TTH,DAL2,0800,Spring 2008,3213249
3091653,004012,FREN,B004,003,E,Intermediate French,1/15/2008,1/15/2008,,1.00,11:00:00 AM,11:00 AM,12:00:00 PM,12:00 PM,MWF,TH102,0800,Spring 2008,0770587
3093424,003270,EDUC,B200,001,E,Critical Issues in Education,1/25/2008,1/25/2008,,1.00,7:00:00 PM, 7:00 PM,10:00:00 PM,10:00 PM,T,TAYG,0800,Spring 2008,3411208
