Student ID,Course ID,Subject,Catalog,Section,Status,Crs Descr,Stat Dt,Add Dt,Drop Dt,Unit Taken,Start_1,Srt1 AM/PM,End 1,End 1 AMPM,Days 1,Facil ID 1,Term,Term Descr,Instructor ID
0310347,001213,ANTH,B303,001,E,History Anthropological Theory,9/3/2009,9/3/2009,,1.00,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,T,DAL119,0910,Fall 2009,0031471
0310347,001248,ANTH,B398,002,E,Senior Conference,8/31/2009,8/31/2009,,1.00,2:00:00 PM, 2:00 PM,4:00:00 PM, 4:00 PM,M,BYC127,0910,Fall 2009,0031388
0750570,012317,SPAN,B105,001,E,Intensive Intermed Spanish,9/9/2009,9/9/2009,,1.50,11:00:00 AM,11:00 AM,12:00:00 PM,12:00 PM,M-F,TAYG,0910,Fall 2009,3554385
1005720,003277,EDUC,B301,001,E,Curriculum & Pedagogy Seminar,7/2/2009,8/31/2009,,1.00,7:00:00 PM, 7:00 PM,10:00:00 PM,10:00 PM,W,TAYE,0910,Fall 2009,1061861
1005720,007372,PSYC,B203,001,E,Educational Psychology,7/2/2009,8/31/2009,,1.00,8:30:00 AM, 8:30 AM,10:00:00 AM,10:00 AM,TTH,DAL119,0910,Fall 2009,0603646
1057610,014112,LING,B113,001,E,Introduction to Syntax,9/21/2009,9/21/2009,,1.00,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,TTH,TAYG,0910,Fall 2009,3452853
1086489,005282,HIST,B349,001,E,Topics in Comparative History,4/7/2009,4/7/2009,,1.00,1:00:00 PM, 1:00 PM,3:30:00 PM, 3:30 PM,W,BYC106,0910,Fall 2009,0493856
1086489,008769,SPAN,B101,001,E,Intermediate Spanish,4/7/2009,4/7/2009,,1.00,9:00:00 AM, 9:00 AM,10:00:00 AM,10:00 AM,MWF,BYC127,0910,Fall 2009,0428728
1160238,001161,ANTH,B203,001,E,Human Ecology,8/28/2009,8/28/2009,,1.00,12:00:00 PM,12:00 PM,1:00:00 PM, 1:00 PM,MWF,TAYD,0910,Fall 2009,0031388
1160238,002855,EMLY,B001,008,E,The Emily Balch Seminars,8/20/2009,8/20/2009,,1.00,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,TTH,TH121,0910,Fall 2009,0031399
1160238,004274,GEOL,B101,001,E,How the Earth Works,8/28/2009,8/28/2009,,1.00,11:00:00 AM,11:00 AM,12:00:00 PM,12:00 PM,MWF,PK25,0910,Fall 2009,3092832
