Student ID,Course ID,Subject,Catalog,Section,Status,Crs Descr,Stat Dt,Add Dt,Drop Dt,Unit Taken,Start_1,Srt1 AM/PM,End 1,End 1 AMPM,Days 1,Facil ID 1,Term,Term Descr,Instructor ID
0032765,002414,CITY,B255,001,E,Survey American Architecture:,5/16/2001,1/16/2001,,1.00,2:00:00 PM, 2:00 PM,4:00:00 PM, 4:00 PM,TH,CARP21,0610,Spring 2001,0697660
0145931,001474,ARCH,B399,001,E,Senior Seminar,6/20/2001,6/20/2001,,1.00,12:00:00 AM,,12:00:00 AM,,,,0610,Spring 2001,0031403
0145931,002871,CSTS,B201,001,E,Cleopatra: Images/Female Power,6/20/2001,6/20/2001,,1.00,2:30:00 AM, 2:30 AM,4:00:00 PM, 4:00 PM,MW,CARP21,0610,Spring 2001,0031416
0145931,005725,ITAL,B102,001,E,Intermediate Italian,6/20/2001,6/20/2001,,1.00,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,TTH,CARP25,0610,Spring 2001,0031543
0419327,001249,ANTH,B399,001,E,Senior Seminar,5/16/2001,11/10/2000,,1.00,2:00:00 PM, 2:00 PM,4:00:00 PM, 4:00 PM,M,DAL100A,0610,Spring 2001,0706398
0419327,003009,ECON,B216,001,E,Intl Finance & Economic Policy,5/16/2001,11/10/2000,,1.00,1:00:00 PM, 1:00 PM,2:00:00 PM, 2:00 PM,MWF,GIL101,0610,Spring 2001,0031406
0419327,005743,ITAL,B304,001,E,Il Rinascimento,5/16/2001,11/10/2000,,1.00,7:00:00 PM, 7:00 PM,9:00:00 PM, 9:00 PM,T,TH251,0610,Spring 2001,0031392
0534728,001190,ANTH,B247,001,E,Gender/Human Rights/Globaliztn,5/16/2001,11/9/2000,,1.00,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,M,DAL105,0610,Spring 2001,1063511
0576611,008799,SPAN,B240,001,E,Historia y cultura/Amer Lat,5/17/2001,5/17/2001,,1.00,7:00:00 PM, 7:00 PM,10:00:00 PM,10:00 PM,M,CARP25,0610,Spring 2001,0031572
0603589,003554,ENGL,B379,001,E,The African Griotte,5/16/2001,11/2/2000,,1.00,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,M,EHIII,0610,Spring 2001,0599596
0634162,002929,EAST,B225,001,E,Mod Chinese Lit: 1919-1949,5/16/2001,11/9/2000,,1.00,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,W,TAYE,0610,Spring 2001,0695662
0634162,002952,EAST,B399,001,E,Senior Seminar,5/16/2001,11/9/2000,,1.00,6:00:00 PM, 6:00 PM,9:30:00 PM, 9:30 PM,T,CARP15,0610,Spring 2001,0088906
0634162,004083,FREN,B399,001,E,Senior Seminar,5/16/2001,11/9/2000,,1.00,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,TH,TAYC,0610,Spring 2001,0031578
0634284,007128,POLS,B399,001,E,Senior Seminar,5/16/2001,11/20/2000,,1.00,12:00:00 AM,,12:00:00 AM,,,,0610,Spring 2001,0031573
0656863,001766,ARTW,B263,001,E,Writing Memoir,5/16/2001,11/27/2000,,1.00,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,TTH,EHIII,0610,Spring 2001,1165592
0656863,005210,HIST,B257,001,E,"The British Empire, I",5/16/2001,11/27/2000,,1.00,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,TTH,CAN311,0610,Spring 2001,1020104
0656863,005263,HIST,B325,003,E,Topics in Social History,5/16/2001,11/27/2000,,1.00,7:00:00 PM, 7:00 PM,9:00:00 PM, 9:00 PM,M,TAYSEM,0610,Spring 2001,1167853
0656863,007128,POLS,B399,001,E,Senior Seminar,5/16/2001,11/27/2000,,1.00,12:00:00 AM,,12:00:00 AM,,,,0610,Spring 2001,0031573
0657857,008501,SOCL,B399,001,E,Senior Seminar,5/16/2001,11/9/2000,,1.00,1:00:00 PM, 1:00 PM,3:30:00 PM, 3:30 PM,TH,TAYG,0610,Spring 2001,0125630
0657857,008799,SPAN,B240,001,E,Historia y cultura/Amer Lat,5/16/2001,11/9/2000,,1.00,7:00:00 PM, 7:00 PM,10:00:00 PM,10:00 PM,M,CARP25,0610,Spring 2001,0031572
0671926,007032,POLS,B228,001,E,Western Pol Phil: Ancient,5/16/2001,11/10/2000,,1.00,10:00:00 AM,10:00 AM,11:00:00 AM,11:00 AM,MWF,TAYG,0610,Spring 2001,0031573
0671926,007128,POLS,B399,001,E,Senior Seminar,5/16/2001,11/10/2000,,1.00,12:00:00 AM,,12:00:00 AM,,,,0610,Spring 2001,0031573
0671926,007365,PSYC,B102,001,E,Experimental Psychology,5/16/2001,11/10/2000,,1.00,9:00:00 AM, 9:00 AM,10:00:00 AM,10:00 AM,MWF,TH110,0610,Spring 2001,0162977
0671926,008766,SPAN,B004,004,E,Intermediate Spanish,5/16/2001,11/10/2000,,1.00,11:00:00 AM,11:00 AM,12:00:00 PM,12:00 PM,M,TAYF,0610,Spring 2001,0431786
0672478,004817,HART,B212,001,E,Medieval Architecture,5/16/2001,11/30/2000,,1.00,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,TTH,CARP21,0610,Spring 2001,1074848
0672478,005263,HIST,B325,003,E,Topics in Social History,5/16/2001,11/30/2000,,1.00,7:00:00 PM, 7:00 PM,9:00:00 PM, 9:00 PM,M,TAYSEM,0610,Spring 2001,1167853
0677533,001565,ARTF,B120,001,E,Foundation: Silkscreen,5/16/2001,11/9/2000,,0.50,1:00:00 PM, 1:00 PM,4:00:00 PM, 4:00 PM,M,ARNST,0610,Spring 2001,0826962
