Students	50
1	9 14 11 10
2	13 1 5 2
3	5 6 14 4
4	11 3 4 9
5	9 13 7 14
6	3 9 8 2
7	7 1 8 10
8	13 9 12 3
9	9 5 10 2
10	5 2 3 13
11	2 9 13 10
12	3 13 8 14
13	2 1 9 14
14	14 12 11 13
15	9 1 4 14
16	6 13 1 12
17	3 8 4 6
18	5 6 3 2
19	12 11 5 14
20	14 1 9 5
21	2 9 5 8
22	3 10 5 8
23	6 14 8 11
24	9 14 5 12
25	12 1 8 10
26	8 13 1 3
27	7 14 12 10
28	7 5 1 9
29	9 4 14 11
30	13 1 11 12
31	12 4 1 9
32	6 12 14 8
33	12 11 14 3
34	3 9 8 5
35	14 5 4 11
36	11 4 14 2
37	1 12 5 9
38	4 7 2 9
39	6 9 13 4
40	10 7 4 8
41	11 13 5 3
42	14 3 6 12
43	6 2 4 8
44	7 2 5 4
45	3 14 1 6
46	5 13 4 14
47	6 5 2 14
48	6 9 11 12
49	6 4 14 13
50	12 4 2 11
