Students	1000
1	26 14 40 12
2	46 17 24 9
3	44 33 10 26
4	34 46 10 45
5	38 10 3 47
6	24 32 41 50
7	28 2 38 26
8	44 34 23 25
9	1 10 49 28
10	16 25 48 38
11	46 4 27 37
12	46 29 28 15
13	2 19 44 28
14	23 6 13 38
15	28 26 13 8
16	45 10 31 1
17	20 34 49 6
18	2 11 39 7
19	36 1 50 15
20	34 1 43 5
21	9 45 33 38
22	49 46 36 28
23	35 17 38 12
24	31 32 26 6
25	48 5 34 36
26	48 42 5 37
27	50 5 17 23
28	10 15 25 46
29	47 46 50 34
30	12 50 32 9
31	45 4 25 42
32	23 8 11 19
33	29 15 36 7
34	12 23 24 48
35	21 16 44 48
36	27 5 20 44
37	1 50 24 42
38	38 4 50 28
39	12 34 16 47
40	50 40 49 8
41	21 38 12 15
42	44 36 9 18
43	16 8 6 10
44	9 22 24 1
45	31 29 37 12
46	4 28 2 41
47	5 16 44 32
48	1 4 26 20
49	34 28 30 27
50	9 27 11 6
51	8 41 27 33
52	9 46 20 19
53	14 10 3 9
54	27 33 19 25
55	12 39 27 40
56	48 9 46 36
57	45 18 50 37
58	43 28 2 4
59	25 49 46 32
60	14 49 47 25
61	5 27 46 26
62	38 11 34 27
63	5 12 47 35
64	10 17 8 20
65	49 7 8 11
66	26 50 40 32
67	35 49 36 23
68	49 19 40 16
69	4 42 7 17
70	46 29 36 7
71	2 4 10 34
72	6 40 50 28
73	15 42 26 21
74	31 34 13 18
75	36 3 26 33
76	41 29 40 8
77	5 7 38 50
78	44 20 31 36
79	37 49 33 29
80	43 50 15 16
81	22 24 1 38
82	27 23 11 44
83	49 13 45 1
84	32 13 44 45
85	49 15 22 31
86	49 5 46 28
87	32 21 20 47
88	50 26 2 47
89	37 22 21 42
90	1 28 20 47
91	37 14 44 5
92	8 26 3 29
93	49 8 42 34
94	7 24 26 20
95	38 25 24 47
96	19 23 16 35
97	23 34 33 49
98	37 42 50 26
99	5 32 7 33
100	49 2 9 27
101	30 39 47 19
102	31 2 5 4
103	16 39 36 26
104	30 11 17 18
105	6 24 11 1
106	36 42 33 31
107	39 47 8 27
108	4 2 36 34
109	9 10 30 7
110	21 46 25 19
111	5 40 21 47
112	50 47 2 34
113	19 26 12 37
114	35 14 16 19
115	50 31 13 16
116	19 41 50 8
117	14 3 45 32
118	50 5 1 47
119	5 16 48 29
120	32 6 11 28
121	17 34 27 30
122	10 34 28 19
123	40 38 5 12
124	25 43 49 3
125	9 11 45 26
126	12 40 49 3
127	6 7 48 44
128	40 1 25 48
129	40 36 2 34
130	2 22 26 47
131	11 44 33 27
132	41 49 22 24
133	16 27 12 43
134	9 22 29 27
135	50 39 45 28
136	2 25 40 10
137	32 25 11 30
138	1 12 11 13
139	37 38 13 20
140	2 3 7 28
141	44 10 41 22
142	42 31 17 28
143	31 15 13 16
144	35 6 27 19
145	42 34 25 30
146	4 17 20 29
147	34 30 29 3
148	20 9 3 38
149	25 35 45 2
150	35 12 20 5
151	38 4 19 23
152	12 5 27 3
153	31 38 14 2
154	47 13 12 22
155	47 32 23 22
156	38 7 19 17
157	33 23 37 20
158	16 10 34 45
159	7 48 25 6
160	47 39 10 26
161	22 43 46 13
162	11 16 18 49
163	24 50 39 22
164	37 9 34 40
165	31 42 13 47
166	29 4 47 33
167	49 29 34 20
168	49 25 34 10
169	47 31 8 45
170	12 10 26 24
171	20 26 41 13
172	15 24 1 12
173	38 34 1 31
174	33 17 3 29
175	16 31 2 44
176	50 1 35 40
177	9 2 38 22
178	33 6 44 8
179	28 41 45 19
180	3 12 9 17
181	3 19 18 4
182	31 48 35 2
183	25 37 38 24
184	18 37 24 36
185	28 30 14 1
186	50 9 5 14
187	40 9 39 49
188	19 20 21 26
189	43 14 42 46
190	50 38 47 24
191	24 21 47 20
192	7 9 23 38
193	7 13 38 18
194	9 18 32 23
195	30 33 36 32
196	21 38 37 13
197	32 28 21 17
198	19 48 30 12
199	32 34 11 27
200	2 8 12 21
201	19 45 20 13
202	34 14 23 37
203	4 23 47 17
204	5 11 42 10
205	4 30 42 35
206	32 5 19 42
207	1 6 46 5
208	24 38 40 16
209	26 16 41 32
210	45 28 22 18
211	5 9 18 6
212	5 12 43 7
213	49 25 29 27
214	12 38 3 22
215	9 22 7 50
216	22 9 25 38
217	22 14 24 46
218	40 14 22 37
219	28 14 15 22
220	32 3 38 2
221	2 30 39 31
222	20 37 50 11
223	24 49 30 43
224	11 49 36 5
225	26 3 37 20
226	4 11 42 44
227	18 43 3 36
228	10 40 13 19
229	22 11 3 38
230	10 12 37 5
231	11 30 43 29
232	48 11 40 24
233	13 33 32 30
234	50 17 21 3
235	4 45 8 5
236	11 25 6 49
237	36 13 3 44
238	26 27 5 9
239	10 38 14 11
240	29 14 45 18
241	3 32 8 17
242	16 2 28 18
243	37 40 10 36
244	25 28 24 21
245	43 6 42 21
246	39 10 41 14
247	43 7 16 44
248	7 26 3 1
249	3 44 40 39
250	6 20 31 30
251	19 46 17 18
252	48 8 17 18
253	6 14 35 11
254	37 23 22 38
255	38 30 22 14
256	15 39 1 28
257	14 3 13 12
258	17 44 30 38
259	2 12 8 21
260	33 36 12 7
261	32 24 40 11
262	44 36 6 50
263	41 35 47 11
264	15 38 37 46
265	34 18 41 5
266	8 27 18 5
267	13 28 24 27
268	41 26 32 27
269	29 50 17 4
270	50 18 34 16
271	9 6 21 31
272	47 16 45 20
273	8 43 31 42
274	26 19 40 13
275	8 28 37 15
276	15 7 6 48
277	27 17 43 32
278	34 40 50 32
279	36 10 39 35
280	43 10 2 46
281	26 48 27 28
282	17 18 42 23
283	14 26 43 1
284	21 39 26 12
285	36 13 18 11
286	18 6 19 26
287	29 37 32 42
288	16 42 41 7
289	23 39 47 41
290	27 36 6 5
291	43 15 1 31
292	15 32 20 12
293	48 20 43 26
294	36 34 19 42
295	24 28 6 40
296	38 25 23 22
297	10 7 48 36
298	11 41 18 30
299	39 27 49 25
300	21 38 50 1
301	24 8 2 14
302	37 39 47 13
303	9 17 48 34
304	45 36 4 9
305	23 5 10 11
306	27 7 42 31
307	2 1 17 39
308	14 26 35 24
309	45 46 14 11
310	26 6 3 36
311	17 28 6 3
312	9 18 29 24
313	25 9 6 13
314	41 43 44 34
315	14 12 16 33
316	32 46 19 36
317	19 34 41 26
318	21 33 8 3
319	50 15 28 49
320	47 45 16 12
321	34 2 15 38
322	48 22 9 38
323	19 48 45 13
324	3 20 40 5
325	34 7 29 30
326	24 31 8 42
327	32 1 45 7
328	31 7 26 14
329	45 37 32 29
330	15 24 13 17
331	50 35 23 17
332	4 42 25 3
333	5 41 32 6
334	30 1 3 19
335	23 41 30 47
336	18 46 39 35
337	36 6 25 5
338	3 24 9 27
339	43 4 19 23
340	50 39 47 46
341	19 49 34 39
342	20 44 3 49
343	30 35 19 46
344	23 32 9 29
345	40 13 38 18
346	44 9 37 8
347	18 4 32 31
348	45 13 5 43
349	33 42 14 18
350	48 9 37 40
351	11 20 42 6
352	45 28 34 48
353	20 38 45 44
354	24 35 19 11
355	26 44 5 37
356	11 18 22 33
357	11 47 3 39
358	2 38 33 31
359	17 30 38 35
360	37 3 4 27
361	29 4 45 5
362	15 12 3 5
363	1 9 11 30
364	40 9 45 18
365	24 26 40 37
366	22 17 13 44
367	47 16 48 45
368	7 37 14 2
369	44 2 18 5
370	4 43 46 48
371	22 48 50 5
372	45 48 19 17
373	46 23 43 13
374	21 4 26 39
375	46 11 49 26
376	8 5 23 13
377	23 15 25 1
378	1 32 36 9
379	9 44 19 30
380	17 24 28 8
381	15 22 33 20
382	9 7 37 2
383	29 46 39 15
384	26 8 42 15
385	8 48 3 38
386	39 25 36 23
387	31 32 7 13
388	22 28 2 10
389	15 21 32 18
390	14 11 48 35
391	45 37 27 39
392	45 33 17 19
393	5 44 9 16
394	45 5 11 36
395	32 15 20 4
396	32 23 39 50
397	9 38 5 13
398	8 12 28 25
399	28 36 40 8
400	4 12 11 14
401	47 32 46 27
402	46 47 40 29
403	6 1 12 37
404	45 42 27 25
405	47 8 42 12
406	15 10 50 44
407	41 19 3 23
408	26 20 43 11
409	41 10 18 21
410	16 39 15 29
411	11 38 49 43
412	25 47 19 20
413	48 5 34 20
414	50 6 30 17
415	13 50 38 23
416	42 2 24 7
417	24 32 25 2
418	39 11 15 18
419	46 22 41 9
420	8 48 29 21
421	50 5 23 39
422	35 30 48 20
423	24 25 7 49
424	17 11 19 21
425	12 3 36 28
426	49 47 15 45
427	11 3 8 1
428	19 11 21 22
429	44 32 10 48
430	9 33 2 8
431	42 46 49 44
432	14 26 40 34
433	27 50 7 36
434	36 5 24 31
435	43 13 40 49
436	34 27 13 11
437	44 12 37 43
438	11 27 39 6
439	23 10 44 34
440	15 42 19 14
441	24 10 49 42
442	23 50 40 29
443	8 14 36 26
444	38 45 29 31
445	11 14 48 37
446	22 43 4 17
447	43 45 11 10
448	26 3 38 35
449	29 35 27 12
450	6 15 50 42
451	45 6 36 18
452	27 2 31 9
453	22 17 46 32
454	12 34 10 26
455	22 48 6 18
456	49 45 40 19
457	40 9 4 32
458	29 5 12 8
459	46 3 10 48
460	10 12 42 15
461	48 17 43 4
462	27 11 44 3
463	44 33 26 21
464	12 14 20 13
465	42 47 39 17
466	26 34 14 37
467	39 43 41 13
468	43 29 36 26
469	50 16 13 22
470	9 31 3 8
471	14 30 28 12
472	25 21 42 16
473	45 29 34 42
474	1 24 17 38
475	36 30 21 40
476	4 38 20 25
477	9 46 41 22
478	1 34 16 38
479	42 11 3 9
480	31 7 49 20
481	13 15 21 27
482	1 47 9 17
483	20 4 5 24
484	20 17 22 13
485	40 31 32 14
486	26 11 33 34
487	10 14 25 21
488	24 35 11 14
489	44 25 49 41
490	39 22 28 40
491	24 33 49 32
492	9 33 38 4
493	6 46 37 21
494	7 16 21 36
495	5 24 45 44
496	4 11 23 27
497	8 35 38 5
498	5 21 34 19
499	38 19 14 10
500	43 25 16 44
501	34 7 14 6
502	25 30 43 14
503	34 33 35 47
504	26 17 12 32
505	6 43 50 29
506	5 2 15 37
507	18 48 16 1
508	25 27 5 23
509	11 23 36 41
510	2 39 20 1
511	40 8 5 46
512	43 35 25 38
513	2 37 46 15
514	31 34 28 40
515	8 48 27 7
516	18 36 23 3
517	14 25 27 13
518	40 30 13 45
519	1 24 12 34
520	46 1 12 30
521	49 34 33 40
522	18 16 46 8
523	25 14 11 22
524	36 10 28 29
525	40 49 44 28
526	9 49 45 14
527	11 20 48 42
528	40 3 5 27
529	27 29 5 7
530	5 11 45 42
531	16 13 21 3
532	3 16 34 10
533	21 50 15 42
534	11 49 38 32
535	27 20 9 23
536	43 25 50 29
537	38 47 3 11
538	41 45 32 10
539	15 39 20 19
540	28 33 31 35
541	27 42 9 24
542	6 38 49 34
543	24 12 36 31
544	44 3 24 35
545	16 5 49 28
546	20 38 3 5
547	33 21 2 50
548	11 29 35 25
549	15 19 44 37
550	26 47 44 9
551	22 31 5 10
552	25 34 45 40
553	12 23 2 37
554	22 39 29 10
555	9 33 1 34
556	23 33 49 16
557	1 50 13 10
558	20 15 34 25
559	7 50 32 46
560	5 12 49 16
561	40 3 19 38
562	6 44 12 22
563	19 13 23 38
564	25 48 39 1
565	21 48 45 50
566	12 36 21 33
567	24 20 2 28
568	32 44 1 16
569	10 1 21 12
570	23 39 12 16
571	1 2 10 17
572	30 20 36 42
573	6 29 33 44
574	43 8 14 44
575	25 48 24 8
576	3 16 49 1
577	19 4 8 49
578	36 15 42 40
579	31 1 17 41
580	23 39 47 6
581	4 19 23 31
582	1 38 24 28
583	13 31 34 12
584	46 41 28 6
585	15 24 6 16
586	36 5 30 16
587	2 26 3 27
588	42 44 16 37
589	12 11 15 20
590	10 40 11 19
591	43 35 4 38
592	16 41 34 12
593	1 37 44 10
594	14 46 45 9
595	49 32 9 37
596	33 17 26 47
597	20 25 24 12
598	6 50 43 35
599	15 37 47 7
600	44 6 42 4
601	28 8 7 6
602	32 12 18 21
603	20 23 35 16
604	49 6 37 17
605	42 38 41 27
606	35 45 46 39
607	17 35 18 38
608	32 41 30 25
609	1 35 29 50
610	11 44 28 17
611	9 4 5 17
612	43 18 35 28
613	30 47 7 21
614	24 1 39 38
615	10 14 27 8
616	19 48 21 3
617	27 42 23 25
618	34 12 2 8
619	4 26 17 39
620	46 10 40 42
621	12 3 50 11
622	43 33 10 24
623	19 17 26 12
624	11 8 37 19
625	30 25 39 19
626	25 7 16 20
627	38 50 18 31
628	10 2 9 45
629	24 10 21 50
630	12 44 42 49
631	48 17 23 26
632	13 41 3 4
633	42 26 17 47
634	29 40 24 19
635	25 49 18 27
636	50 16 45 17
637	30 25 34 5
638	19 3 37 48
639	21 2 37 14
640	18 2 33 38
641	26 40 42 38
642	45 5 43 36
643	42 10 46 8
644	17 23 20 12
645	9 34 5 30
646	28 39 17 11
647	6 3 11 45
648	2 4 1 48
649	43 24 28 7
650	32 27 28 31
651	4 33 19 47
652	8 22 43 35
653	15 46 38 20
654	19 30 27 37
655	39 9 50 46
656	41 29 49 31
657	32 47 5 14
658	38 6 30 23
659	12 4 15 33
660	2 33 32 22
661	5 17 12 6
662	37 6 25 22
663	27 44 23 33
664	48 21 3 41
665	37 15 23 47
666	49 47 41 5
667	35 3 27 14
668	38 9 4 7
669	11 43 18 48
670	46 13 29 14
671	8 24 2 36
672	48 20 23 29
673	2 23 10 25
674	13 46 44 26
675	33 21 14 26
676	49 25 47 3
677	32 21 7 11
678	42 20 8 46
679	31 42 11 48
680	43 39 35 18
681	12 38 46 21
682	22 29 4 14
683	5 12 42 15
684	18 45 4 10
685	2 33 39 7
686	5 50 38 20
687	21 40 47 22
688	1 25 20 27
689	48 21 2 50
690	37 36 46 44
691	11 12 43 34
692	15 47 39 2
693	19 13 37 26
694	11 49 1 5
695	27 31 33 13
696	29 13 3 15
697	2 28 27 36
698	3 38 5 37
699	22 37 13 12
700	6 46 19 14
701	22 16 45 24
702	16 10 18 14
703	5 43 50 39
704	43 8 44 22
705	15 44 1 7
706	2 22 29 49
707	2 50 18 27
708	30 18 41 44
709	11 12 20 40
710	18 40 42 33
711	31 30 10 43
712	19 20 50 4
713	4 42 22 31
714	2 18 42 16
715	49 43 16 14
716	49 50 1 15
717	28 46 18 40
718	2 15 6 29
719	33 25 11 27
720	47 12 37 34
