Students	5000
1	44 105 38 72
2	201 15 42 214
3	33 134 175 181
4	245 111 45 244
5	117 81 221 183
6	232 215 40 161
7	106 94 145 193
8	114 202 154 77
9	112 82 90 89
10	187 214 123 35
11	160 19 143 172
12	234 85 12 32
13	105 11 112 12
14	199 167 115 191
15	238 227 91 156
16	187 73 188 124
17	63 240 114 108
18	34 183 232 249
19	76 103 37 244
20	21 50 225 28
21	41 104 205 126
22	21 145 180 68
23	183 181 3 218
24	121 214 209 243
25	26 123 175 36
26	21 119 221 176
27	83 12 44 6
28	67 192 129 227
29	46 134 158 64
30	110 2 79 96
31	197 211 239 147
32	215 179 108 121
33	64 189 45 225
34	28 149 110 47
35	146 58 150 46
36	169 220 212 227
37	187 90 169 159
38	245 194 26 129
39	20 132 21 173
40	148 114 120 5
41	148 248 86 37
42	106 103 232 250
43	23 150 18 30
44	228 69 214 212
45	28 145 61 210
46	25 72 189 186
47	185 116 195 30
48	132 89 214 36
49	138 228 100 145
50	152 64 43 146
51	125 6 8 142
52	226 221 243 138
53	181 207 214 31
54	88 173 44 33
55	160 27 215 31
56	247 75 7 74
57	143 111 195 79
58	62 2 112 157
59	112 59 113 203
60	43 129 93 125
61	187 220 240 32
62	31 83 208 202
63	243 181 82 231
64	223 113 216 122
65	115 62 64 16
66	228 194 227 85
67	32 27 6 206
68	137 85 29 194
69	44 2 208 142
70	10 190 216 135
71	102 2 165 116
72	181 154 199 135
73	234 238 69 105
74	145 94 242 105
75	153 201 43 172
76	3 60 242 193
77	97 70 232 16
78	200 99 67 55
79	223 34 161 208
80	196 209 111 174
81	242 209 12 32
82	47 74 110 75
83	89 205 21 168
84	64 80 137 99
85	40 59 201 57
86	150 30 242 234
87	189 155 137 93
88	242 82 42 95
89	71 190 119 33
90	9 2 201 44
91	112 76 108 99
92	150 117 130 147
93	229 133 111 247
94	97 44 219 39
95	162 164 165 101
96	128 151 51 218
97	102 162 228 186
98	127 44 135 195
99	228 72 216 124
100	115 72 155 8
101	158 102 196 118
102	246 135 194 33
103	227 167 226 46
104	35 12 230 23
105	182 92 187 168
106	68 171 107 15
107	56 222 6 154
108	135 152 202 36
109	60 105 210 155
110	220 40 84 39
111	236 118 166 167
112	239 160 96 175
113	250 132 38 29
114	168 208 27 47
115	106 225 69 20
116	189 122 46 88
117	190 125 98 169
118	248 73 202 121
119	17 191 200 90
120	159 154 206 187
121	155 96 13 162
122	166 225 221 223
123	51 223 207 118
124	160 216 169 73
125	105 99 92 206
126	16 22 13 80
127	84 212 167 158
128	57 206 100 27
129	127 113 82 129
130	214 224 5 22
131	89 147 181 169
132	6 205 102 25
133	151 175 102 42
134	4 228 54 120
135	139 64 5 194
136	52 102 117 53
137	178 156 206 238
138	73 3 233 70
139	113 83 187 145
140	139 74 11 48
141	52 157 112 241
142	62 156 137 42
143	204 171 21 235
144	154 35 115 164
145	49 170 236 109
146	95 185 68 91
147	40 200 219 146
148	165 164 231 226
149	242 231 151 114
150	102 209 64 17
151	201 79 104 197
152	223 148 195 137
153	98 120 8 222
154	150 179 171 5
155	228 51 115 222
156	175 145 174 206
157	191 249 197 93
158	156 240 161 59
159	89 96 202 50
160	184 148 222 114
161	206 182 138 79
162	131 24 192 244
163	247 110 245 185
164	124 197 247 35
165	50 92 128 3
166	40 31 42 86
167	24 204 136 223
168	53 211 181 133
169	102 27 224 32
170	207 197 250 69
171	28 212 239 206
172	169 67 202 17
173	43 42 55 222
174	207 37 133 54
175	24 213 63 1
176	59 127 138 226
177	62 22 63 89
178	207 113 7 15
179	184 187 7 127
180	148 219 19 196
181	24 93 183 172
182	63 109 206 43
183	207 240 132 227
184	34 138 57 182
185	244 87 83 63
186	21 111 89 129
187	125 127 212 241
188	220 63 107 180
189	101 84 104 233
190	199 15 16 72
191	160 147 132 106
192	88 74 45 223
193	6 122 146 28
194	69 39 95 137
195	72 16 10 154
196	224 41 235 203
197	64 213 18 21
198	1 120 76 170
199	249 146 237 164
200	68 187 130 227
201	100 147 103 214
202	207 63 48 199
203	84 92 197 115
204	143 232 76 34
205	238 78 18 170
206	17 93 199 80
207	28 197 215 225
208	179 43 217 104
209	93 17 211 190
210	210 54 177 99
211	241 72 140 181
212	41 69 222 112
213	137 96 61 220
214	201 25 171 221
215	96 87 227 44
216	138 109 80 225
217	163 91 58 248
218	185 220 144 10
219	91 109 102 92
220	94 68 67 38
221	51 206 242 4
222	160 82 191 40
223	41 54 95 210
224	243 142 28 4
225	124 231 105 78
226	60 56 100 204
227	241 113 105 233
228	98 173 162 40
229	175 196 11 156
230	39 59 198 112
231	88 84 157 198
232	230 30 115 31
233	74 6 223 126
234	16 35 191 91
235	225 56 185 61
236	79 110 180 45
237	173 62 193 104
238	152 221 210 136
239	87 1 199 30
240	189 19 111 29
241	223 107 17 230
242	133 135 186 15
243	135 190 120 117
244	112 114 228 41
245	245 195 187 248
246	47 51 181 205
247	240 66 97 80
248	147 208 103 165
249	164 184 146 65
250	75 7 173 43
251	176 213 7 27
252	147 80 156 144
253	146 24 18 31
254	12 91 67 196
255	157 151 220 26
256	196 38 159 65
257	149 143 82 77
258	176 90 138 139
259	140 75 192 13
260	23 101 170 58
261	25 236 206 58
262	23 125 10 139
263	21 4 242 227
264	230 131 19 60
265	58 213 154 212
266	157 181 147 218
267	124 187 33 166
268	241 249 116 89
269	171 198 79 145
270	134 10 145 3
271	46 70 109 162
272	148 184 215 78
273	179 64 84 76
274	45 226 4 125
275	215 214 143 189
276	228 14 47 93
