Students	10000
1	429 494 2912 243
2	924 885 285 2057
3	2425 469 2311 1413
4	1972 1350 2806 2857
5	1556 1404 1578 2813
6	2840 957 2568 2002
7	2832 2226 2244 1578
8	537 1379 2189 51
9	2383 1140 284 1951
10	2164 689 1668 2930
11	2187 2221 312 853
12	635 2983 2393 31
13	1242 633 2468 2959
14	1731 671 2452 1373
15	1096 875 744 2336
16	194 678 1021 2077
17	15 441 1747 2163
18	1891 1218 692 2809
19	2097 909 572 2999
20	1544 1489 1490 100
21	1253 904 2372 1470
22	993 477 1160 1747
23	161 455 2586 151
24	1651 2171 1853 1738
25	1101 1129 1406 742
26	2454 1805 832 337
27	2955 824 2069 2465
28	466 242 2128 2183
29	2642 2416 1937 2923
30	2177 2426 2174 2348
31	831 408 1981 1366
32	1532 711 2485 1475
33	2944 1437 1342 1595
34	2820 2151 2251 1153
35	2214 924 1016 368
36	735 2171 1392 1770
37	918 1283 1421 2402
38	191 2695 140 2092
39	1872 1967 1690 2631
40	1847 657 592 2821
41	1787 205 924 1526
42	1773 1854 2859 322
43	2241 2584 2390 1835
44	2221 2406 499 2672
45	756 2638 781 1143
46	141 2580 1821 1038
47	1763 2340 1036 1147
48	809 1438 374 2307
49	1199 1859 2064 1548
50	1786 735 518 1676
51	2942 1086 2793 1859
52	355 1611 398 1756
53	440 1359 1478 387
54	2601 38 929 482
55	555 392 982 1
56	433 1532 473 2897
57	2951 1765 1932 160
58	54 1489 883 550
59	1233 1364 128 2984
60	2689 2504 380 1958
61	1541 921 2468 1958
62	793 2306 1346 217
63	340 313 789 1088
64	2439 1390 643 455
65	2864 1444 1609 90
66	1203 1132 2377 425
67	1876 2482 1607 343
68	1506 54 1191 1072
69	316 2861 899 2050
70	188 1063 225 431
71	2822 2797 2740 2128
72	2936 789 1696 726
73	2145 1165 2197 5
74	2159 2758 1800 1971
75	2160 371 1579 1526
76	2966 2865 2169 2811
77	1349 1369 2005 730
78	2029 1659 1493 767
79	2490 203 2450 2265
80	2407 1122 195 2363
81	2695 1413 1875 2683
82	1690 1111 1086 1989
83	2950 1307 2682 1788
84	297 242 2884 656
85	911 2501 699 1652
86	263 2896 1223 1035
87	905 1223 2240 2765
88	2487 2115 419 1462
89	2904 2718 1404 2150
90	113 462 1681 767
91	2578 2632 821 107
92	533 2444 1792 1974
93	1557 509 2367 498
94	2400 877 406 2067
95	1588 2537 1089 1294
96	32 489 85 1141
97	1428 2362 1581 2283
98	2675 289 70 1323
99	2098 2224 1470 567
100	1292 2617 2406 915
101	2454 2794 361 2615
102	784 404 1601 2238
103	2007 1971 1664 2296
104	975 1040 2333 637
105	1438 1457 147 2377
106	1093 1278 938 2061
107	2398 2216 2800 593
108	92 2912 1468 589
109	2938 2983 1686 2387
110	785 2440 2979 129
111	2184 651 2912 2954
112	1490 2669 1469 1428
113	1854 2888 1636 2178
114	766 120 1461 2326
115	660 2457 1124 520
116	1722 1286 2643 2018
117	2798 2624 394 804
118	2407 2127 246 1846
119	1394 1645 746 1240
120	932 2831 979 1895
121	1066 1637 2680 878
122	2162 1625 2245 1362
123	2679 216 2175 4
124	1142 488 217 367
125	797 2000 2175 2759
126	2815 1867 962 1493
127	2473 610 1284 561
128	82 932 2296 2995
129	2624 1971 2260 581
130	858 1639 1390 1170
131	1541 644 704 770
132	439 1729 314 1948
133	1918 569 2640 1555
134	281 1955 1735 2292
135	1240 2933 178 493
136	1179 2144 1829 2476
137	416 2998 2406 726
138	1763 2275 201 2772
139	2153 469 1900 2203
140	1313 2529 121 508
141	1843 2521 1817 123
142	1047 276 1815 1863
143	1513 2864 1508 2096
144	2250 2168 763 108
145	1823 2108 852 2978
146	997 949 1029 374
147	125 441 2143 278
148	1621 259 1618 1291
149	1165 1963 2331 1460
150	604 2558 564 149
151	233 1151 2756 2334
152	2223 2418 2104 449
153	357 2766 1129 1089
154	2949 2725 1750 1934
155	517 32 2567 330
156	447 2858 1337 1374
157	2822 212 1796 2783
158	893 2684 1316 1499
159	1200 2666 1350 72
160	348 152 2508 2634
161	1279 1194 2616 2213
162	1993 468 384 2633
163	2930 2866 2963 161
164	1230 234 2611 2787
165	272 2722 1898 892
166	1919 564 2128 398
167	1909 1531 285 170
168	395 24 1349 2694
169	2695 1411 2041 199
170	2376 2309 2346 2741
171	2462 1411 1493 1991
172	2426 2853 856 2906
173	2889 129 2679 1253
174	2290 2062 1910 354
175	2990 234 2318 2163
176	159 575 1565 900
177	2634 153 1924 1336
178	2779 2915 1836 2396
179	2015 2405 1736 747
180	1217 2012 346 2624
181	1100 911 1526 2291
182	1165 2487 2449 1438
183	2759 1253 232 2036
184	748 2161 756 636
185	609 158 476 2073
186	1036 2067 1870 1778
187	1459 1535 1559 1191
188	2759 284 1014 800
189	1741 174 1349 1403
190	128 138 1816 2968
191	2369 2662 684 2579
192	1167 1808 1052 301
193	1154 2323 441 1195
194	2529 53 2436 2190
195	1147 1860 1303 2391
196	477 2666 1756 484
197	151 60 2467 186
198	476 2408 1659 1856
199	2071 2241 2120 845
200	699 506 236 732
201	2845 2237 2396 2975
202	747 1360 299 535
203	294 2481 2802 2026
204	905 2892 752 1422
205	1492 2277 688 1372
206	424 1951 2884 101
207	2076 2584 265 2185
208	1570 431 1631 2662
209	1300 1581 1991 777
210	515 1183 1940 2702
211	702 952 728 1037
212	1559 2443 294 1337
213	2809 1240 2091 1986
214	2731 2401 224 1937
215	527 696 1689 2384
216	1420 2609 2247 1698
217	1657 2897 1644 2638
218	1390 1237 122 351
219	2350 1947 749 1114
220	1363 730 2629 1485
221	304 349 2007 2217
222	1244 2156 1194 2130
223	2073 2591 1947 2379
224	1053 503 2695 338
225	39 1233 2183 1303
226	2723 2381 2608 2601
227	1330 666 24 2525
228	115 2971 1315 2992
229	2354 1875 1697 1501
230	1856 714 1930 2932
231	2550 1385 1791 68
232	1988 1043 1360 2498
233	1492 1157 2935 1232
234	1894 2549 505 1121
235	644 2486 510 784
236	495 2243 2581 1466
237	1759 1974 1233 1321
238	1384 2076 2417 1183
239	2268 1387 2960 2715
240	1303 2584 1327 1082
241	911 641 2774 2069
242	2211 1490 745 2119
243	2359 2361 2606 1657
244	2115 222 211 2387
245	1708 1318 73 1225
246	870 1697 2605 1069
247	1401 2681 41 1434
248	270 298 1587 2072
249	437 317 602 77
250	1977 1817 1210 744
251	609 470 1612 2013
252	1114 2107 1430 1776
253	994 2852 839 1551
254	789 505 1912 31
255	2987 1708 2907 2276
256	1282 2506 988 2646
257	1845 605 2795 39
258	2227 1864 2987 1376
259	960 1609 514 1007
260	2795 2222 303 2639
261	2941 1166 2797 2371
262	687 2477 607 323
263	1026 347 1224 1394
264	576 2433 1456 2826
265	2404 211 90 118
266	1631 2850 1262 1329
267	1628 2826 1595 1112
268	807 811 2149 2687
269	1575 994 1528 157
270	1729 266 1589 2728
271	195 982 1540 1802
272	2243 2902 2974 1146
273	1724 497 2419 2190
274	1066 1856 1351 2456
275	1052 807 2369 482
276	2367 2507 1468 2838
277	521 330 2303 1645
278	1667 1395 2046 1924
279	2652 1079 441 1229
280	1043 2467 828 2859
281	75 2218 1203 1136
282	1358 2108 1367 1147
283	321 2505 343 2162
284	2026 994 1870 1994
285	126 2667 661 2432
286	1727 509 506 1
287	2466 744 285 557
288	1497 1469 1607 163
289	1699 2140 1580 2602
290	1686 63 23 240
291	1961 1519 2094 2634
292	1477 2340 1531 593
293	2320 2855 679 777
294	2913 1177 2768 629
295	1133 791 10 1346
296	2785 2533 2475 953
297	589 16 98 1720
298	162 1818 1075 2328
299	574 2711 2180 202
300	1910 1528 2645 2444
301	1705 2087 447 118
302	2229 1767 1227 386
303	710 1797 1518 2959
304	1933 997 1190 2607
305	1258 2444 2344 2301
306	1069 1311 899 975
307	2833 580 2370 721
308	405 662 1400 1330
309	368 2492 235 1807
310	2322 866 1082 2730
311	49 2655 124 767
312	1787 2773 2402 2298
313	984 1089 1031 2983
314	280 2843 2702 1321
315	331 2873 702 1162
316	871 1357 1957 1901
317	2935 866 1870 1557
318	35 2764 1928 2124
319	1638 127 2594 1952
320	1290 2142 699 325
321	1038 1782 30 2854
322	1332 2403 1879 2607
323	1789 1948 2858 519
324	2027 2812 1947 1333
325	2350 1011 802 107
326	387 500 2241 2821
327	549 2887 2245 388
328	2543 1984 1921 983
329	388 985 1852 1031
330	676 1299 993 1089
331	119 377 373 554
332	2924 1075 1979 2271
333	2881 1202 2375 2599
334	466 960 1246 1793
335	1988 1564 2622 2130
336	169 2943 236 455
337	390 1128 2079 709
338	591 2606 1908 2858
339	1837 2302 1158 884
340	517 2978 1653 1547
341	864 275 794 2169
342	1742 540 2672 316
343	2952 1284 1257 971
344	2455 2018 2473 2227
345	956 321 1247 1178
346	272 915 542 66
347	339 2033 2857 1907
348	1769 2267 1591 1172
349	2675 2830 297 257
350	1295 2863 891 705
351	2495 1199 990 1610
352	1805 2099 2223 1540
353	1699 2934 2674 291
354	2574 2893 770 2049
355	2529 1393 523 2064
356	807 412 981 1116
357	425 1061 2016 2129
358	2466 2053 1953 1708
359	91 519 2372 1895
360	973 927 1200 360
361	567 1544 739 2917
362	1940 2155 956 2856
363	2298 309 113 2950
364	619 1594 1131 2352
365	2898 707 48 1113
366	1420 2077 2994 42
367	1613 2541 2643 1660
368	589 2991 1356 382
369	446 764 111 841
370	2980 2936 2625 680
371	1371 1147 324 2757
372	2789 1388 1526 686
373	211 2622 217 1052
374	2132 1635 545 2588
375	1410 170 2776 656
376	490 1862 2272 2559
377	1256 432 1428 639
378	2236 1083 774 1688
379	993 1299 1230 556
380	2784 622 1914 2862
381	1707 1466 45 471
382	1288 111 2215 2743
383	1989 1436 108 2067
384	1329 452 2298 2654
385	20 2677 2919 2012
