Students	50
1	5929 5926 3893 1456
2	5529 5788 985 6707
3	7133 1730 1609 6045
4	1021 3388 1157 5602
5	5661 6279 762 7186
6	1986 5399 3075 2457
7	7362 9 6050 3402
8	4714 7282 2791 4164
9	243 2473 2361 6589
10	3243 2035 5751 6443
11	4312 123 3611 6215
12	6180 1153 4519 6184
13	2228 5450 1763 7021
14	7128 617 4608 2404
15	2044 6983 3074 2418
16	7211 6562 3001 1175
17	4854 2723 638 356
18	2358 6124 757 646
19	6307 5126 5747 7280
20	5498 6040 590 1107
21	1687 3683 5531 1482
22	7211 4768 5091 6948
23	2130 4033 3283 7086
24	59 3311 6235 2225
25	4503 2811 5792 1680
26	6967 2977 7025 4584
27	4562 5171 6389 1650
28	2422 52 1611 736
29	7181 2034 5841 4621
30	4574 5259 3390 3299
31	3751 6687 5538 3065
32	6503 7474 6528 871
33	2739 2829 6332 7069
34	3421 1406 4995 919
35	2438 6052 6686 7488
36	6956 2868 4620 688
37	5027 586 3138 5780
38	5439 5388 267 5171
39	827 352 1868 3602
40	171 5636 2134 2889
41	5971 575 7490 1423
42	4641 2622 7245 2651
43	3141 745 6414 812
44	1476 6703 7045 2276
45	3626 1767 2436 2276
46	3077 1722 2090 3766
47	2080 4549 3921 2083
48	1441 4588 2588 844
49	5679 1629 192 2270
50	3070 6172 1628 1832
