Students	100
1	3984 8276 7537 3693
2	4657 8014 8659 3929
3	8483 4005 124 2142
4	1924 5141 3535 8552
5	3198 4124 2593 9252
6	7914 5379 7443 1341
7	711 5338 7418 1864
8	8458 9126 1083 5053
9	9254 780 6156 2954
10	6326 8862 2627 3516
11	6827 9326 5139 8823
12	3347 9279 8227 9837
13	5641 1653 3011 5491
14	3041 2442 2012 5371
15	4412 670 458 694
16	4042 1681 6079 6661
17	4087 7134 3465 6128
18	9024 9395 4556 5342
19	5939 3494 148 4434
20	8636 9431 2248 345
21	9661 290 7817 6740
22	5018 4325 7600 2652
23	3083 9823 1300 9572
24	4897 1289 1747 309
25	4444 1207 5748 4404
26	7956 8562 289 5453
27	2747 9430 7150 9211
28	2199 5511 2077 5701
29	1705 8571 1635 8991
30	4370 5674 9788 9397
31	7976 5949 232 1441
32	154 1861 349 7944
33	4979 9654 9241 4694
34	5812 6360 9389 8728
35	9433 6634 7607 6355
36	223 7323 2782 8997
37	8963 2320 1770 6955
38	3854 4484 120 4436
39	5577 5644 5360 6361
40	9105 3514 9441 6187
41	1661 5188 5759 8714
42	4685 8494 9946 6576
43	2235 3248 2133 9991
44	5183 6305 9556 6897
45	9661 4587 9786 2453
46	5860 4997 7175 292
47	4709 5809 3879 1902
48	1825 665 5290 8948
49	992 9429 1469 6945
50	222 3745 7165 7641
51	8096 3961 4599 4253
52	3825 6224 4283 5002
53	2452 7649 8738 195
54	4553 5782 3928 9768
55	3981 8830 262 7175
56	5768 1574 3846 1784
57	828 318 3842 2476
58	2988 9024 749 6516
59	4164 8716 5652 8505
60	3625 7811 2147 7469
61	9920 2092 1086 5942
62	7726 8016 6401 3035
63	4591 1078 6359 5498
64	3339 4326 4240 3030
65	7797 9104 1761 9733
66	2076 7129 6070 5460
67	5149 7249 645 3699
68	2727 2348 3287 5891
69	1170 7953 2252 2046
70	3392 8961 8597 232
71	3485 9727 8410 686
72	5447 4264 9832 6680
73	6329 1902 3795 3088
74	5920 2188 4122 4128
75	3527 4446 6986 4859
76	8358 9194 4473 2431
77	8533 2940 4858 5382
78	6098 5635 8738 4575
79	1856 2900 5978 1985
80	6029 7864 1786 2026
81	4278 818 9637 352
82	5359 7809 5274 2309
83	7599 1513 5897 4699
84	8714 2256 5844 2219
85	3364 2716 8618 2649
86	7962 3677 1774 968
87	4008 8124 7787 2629
88	2555 8058 198 5056
89	150 9647 9709 6149
90	3905 2913 1808 666
91	2394 7980 3591 3380
92	3330 414 7663 2
93	5947 8259 898 8072
94	9442 6409 3193 5131
95	1562 4116 9479 7035
96	7508 5996 7753 6612
97	6928 9142 7925 178
98	258 272 4239 4487
99	8436 9509 6856 9393
100	6922 6881 2132 6053
