Students	1000
1	3284 3072 3959 3761
2	2441 6346 6178 3302
3	1264 3718 6787 6443
4	7145 4728 7316 530
5	4992 6711 1309 532
6	966 4175 654 7079
7	4870 6900 7859 903
8	6815 2146 4962 1605
9	3023 583 6566 7185
10	4990 2728 608 7111
11	2343 5741 1449 97
12	3342 7158 7585 6418
13	1920 5818 3587 3934
14	6383 6820 5912 5492
15	7596 4392 4947 7684
16	6730 4301 1669 7806
17	4994 1612 3648 203
18	4496 6779 3720 1918
19	6220 7165 5810 7963
20	3740 2991 1226 1703
21	6547 4521 4840 3283
22	3774 6175 4334 2193
23	5724 5605 1887 4600
24	5150 879 5965 7722
25	177 7565 5404 2198
26	1325 7180 5415 5089
27	5201 133 1117 955
28	3534 7840 4522 4723
29	346 5174 4413 4061
30	4075 4082 450 1309
31	6576 3298 7044 274
32	6222 6153 7651 129
33	4339 4005 5209 2180
34	5194 5503 5398 4353
35	7577 5665 2524 2046
36	6089 4380 2286 5786
37	7788 1656 6991 5234
38	3418 3824 7398 7073
39	6598 7373 2056 4799
40	2841 482 7383 7146
41	4921 5321 3976 2753
42	6957 4379 5462 7673
43	3616 4389 5119 3609
44	5444 7712 6436 6549
45	2674 4411 5527 231
46	5613 4927 3046 2970
47	7295 4500 4940 4613
48	4358 2804 5584 7388
49	7837 5163 4664 3113
50	791 1941 6426 659
51	4460 6056 1095 803
52	230 1998 4222 7939
53	4388 5288 345 6962
54	1040 6249 4754 406
55	2080 2520 6341 7387
56	1701 425 2996 3642
57	4169 4668 4955 5079
58	4792 4550 5734 7506
59	5923 5830 94 984
60	2989 389 118 6598
61	52 6150 2380 2858
62	1949 5345 2800 920
63	2035 3626 6954 959
64	1897 4077 892 5086
65	4776 2461 82 6154
66	3978 5805 7709 3464
67	1205 7362 690 5149
68	906 222 3356 3862
69	579 3271 590 952
70	2165 6117 4464 3914
71	567 6331 85 6291
72	7 263 4953 31
73	2809 6446 7805 7613
74	3694 7831 2460 2842
75	6500 4648 5044 5409
76	7937 5511 5133 7271
77	2647 3511 1517 6983
78	1194 6743 765 7924
79	977 210 7385 4458
80	4459 4884 4791 3194
81	4125 7367 7561 1634
82	5425 850 5449 6541
83	7523 6666 704 2497
84	4357 708 5459 4612
85	4564 4275 1001 5539
86	745 3891 3852 1419
87	6935 5435 3728 5674
88	7795 6144 5132 5510
89	1618 6160 5753 5443
90	5021 1033 1714 5118
91	6930 4794 1564 7307
92	7699 7753 5670 2489
93	53 5248 4058 3223
94	1649 1206 7057 3131
95	3858 1076 7246 340
96	2816 739 653 6467
97	1446 3079 7204 2509
98	1317 6634 6744 1384
99	659 7005 7985 6457
100	7111 6401 2600 5427
101	1932 7919 909 4857
102	5192 2089 7599 3917
103	7200 2195 2532 4132
104	145 7322 2481 4976
105	1174 609 767 2753
106	3169 4402 16 526
107	7164 6855 2063 7896
108	5115 1831 4395 3511
109	3708 6878 7168 6715
110	6848 6750 7949 6150
111	5639 1718 4982 1113
112	3181 5259 345 770
113	3813 154 3091 1802
114	6891 6277 7188 3773
115	1563 3240 6061 2529
116	2770 3539 2 4545
117	3072 902 4185 2783
118	2421 1542 7847 4646
119	3183 5086 6310 4885
120	474 2658 379 2340
121	7773 4517 4537 3266
122	4104 369 6939 1579
123	6689 2942 7994 5881
124	4245 7510 6299 2758
125	3306 3816 7541 60
126	2596 583 6977 1117
127	4168 1688 5203 1760
128	3496 5678 6591 5395
129	721 6144 5261 4051
130	7982 4214 2479 2349
131	1048 1951 6369 7796
132	4799 1668 4891 25
133	4589 3138 3711 6880
134	3889 7650 6301 159
135	1175 5079 7150 3976
136	5822 5131 5981 1855
137	1340 5170 1445 2697
138	5910 314 5703 4685
139	7687 5571 2082 2151
140	6160 6614 4554 3631
141	5215 6508 6870 6272
142	10 6363 4043 6769
143	1844 5974 5408 932
144	3720 350 1317 7381
145	1003 5226 5686 2754
146	2553 5959 2013 5178
147	7959 3309 5477 4624
148	7319 3641 1345 4564
149	714 3889 7862 6346
150	5630 6641 6332 5393
151	2600 2026 3142 4465
152	2142 348 7572 7428
153	1344 7045 1545 7188
154	5320 1323 3782 5715
155	4205 6542 6548 6472
156	6726 2030 359 4333
157	884 1563 3326 3718
158	555 7452 509 4509
159	1281 4385 711 147
160	2123 6258 7 1837
161	7743 3837 4247 7813
162	4243 7857 4490 329
163	3333 967 314 4355
164	3892 1632 7150 6324
165	4722 3895 4976 7958
166	6301 7829 7074 6737
167	4678 1038 108 625
168	5588 3048 1921 7948
169	6713 6447 7540 5761
170	6259 944 5502 1575
171	5313 1829 7335 6184
172	4397 6721 800 7685
173	1267 2887 1036 3070
174	3085 6180 6307 4482
175	2974 932 6569 4982
176	1567 4524 4051 2259
177	3193 6304 4711 2980
178	7899 4848 7514 6438
179	566 7938 5396 1002
180	309 7143 4652 3744
181	345 3510 1836 2014
182	3214 7871 7530 5107
183	3093 2874 7323 4135
184	1807 3611 7628 4601
185	1748 136 7757 762
186	6382 5943 2646 1774
187	4271 2458 338 897
188	2002 2729 2693 953
189	1226 815 5558 6244
190	4882 5097 1037 1641
191	4959 5216 3509 4267
192	1803 7915 3097 4855
193	7680 481 4710 1304
194	5118 218 3196 5280
195	3574 4482 52 6945
196	5385 3008 1601 2368
197	7182 831 144 2286
198	6379 5027 4672 5012
199	4652 4319 3245 280
200	7225 4567 479 193
201	4035 3965 3124 302
202	1615 3068 7052 1997
203	5696 7389 7626 7184
204	2536 6184 2440 1662
205	1954 1241 5357 7348
206	4695 6235 1068 5819
207	4480 1802 3852 7288
208	1756 2351 3404 2859
209	4528 1378 3714 6572
210	1789 1362 7753 4343
211	6961 7981 5649 2625
212	7743 1406 6013 5661
213	4121 7837 6998 7956
214	6543 7414 1541 5627
215	1951 568 7240 2140
216	4338 3104 2794 6469
217	2363 1511 4148 4707
218	691 3800 5218 7675
219	6719 2402 7672 1281
220	6949 6314 7879 1421
221	3384 2758 3283 3628
222	7777 4363 640 1800
223	1654 1611 442 2972
224	3815 2412 2196 2856
225	2968 796 5008 760
226	5626 1540 5114 5392
227	6180 833 4823 242
228	2604 7866 3014 7829
229	6747 4514 7370 7569
230	1227 3266 1351 1862
231	6043 5610 1311 2790
232	6998 7572 6783 5434
233	632 6708 5889 2963
234	1691 3117 2901 3553
235	4155 979 3581 7774
236	5930 2451 4138 7740
237	6607 7783 2049 412
238	928 6246 2965 7388
239	5132 7297 5371 1090
240	4121 4848 4005 3101
241	7051 6959 3672 5474
242	7710 3635 4515 7044
243	1699 4325 6702 5447
244	4578 3274 5694 4641
245	2756 6995 2580 974
246	6768 5195 3591 3432
247	1095 2611 5823 1496
248	7709 7997 3896 673
249	7775 476 4939 3157
250	2582 4246 7720 5262
251	3665 7185 5309 6302
252	5705 3037 1484 7852
253	2280 3695 7701 2057
254	1531 3902 5333 5478
255	7766 4631 2707 3448
256	856 86 7034 5840
257	2567 6148 554 1395
258	6031 5908 4107 1339
259	5162 2522 2132 5041
260	6450 7883 3960 6251
261	1372 1688 2774 7271
262	355 442 2122 7930
263	5057 293 5227 7905
264	6906 4583 171 6671
265	5664 5363 2396 929
266	5759 5425 5756 890
267	6920 4554 5900 252
268	7818 2637 5174 6534
269	1047 1966 3104 4892
270	4591 5863 2205 6126
271	4270 3884 7220 1087
272	4536 1735 7499 7628
273	1952 6330 2248 1730
274	7020 5763 4553 4304
275	7559 4144 905 4666
276	3971 3319 3383 4012
277	4762 1411 5401 2754
278	70 7141 1285 7893
279	4325 3323 3793 247
280	4254 6222 1592 134
281	7031 2169 844 5910
282	580 4659 4157 6550
283	766 2967 7704 7447
284	6925 942 3309 1926
285	1948 7292 3410 165
286	3776 6427 6323 6620
287	2887 3213 5107 5472
288	2295 6098 5986 7653
289	3208 2796 7070 7650
290	5097 5497 633 531
291	5381 2456 6988 4504
292	6649 591 2057 3305
293	5444 7524 7687 4861
294	2927 4571 1996 7876
295	2404 690 3329 5523
296	7930 7005 1434 1311
297	3377 581 3326 6174
298	3905 6477 3734 3953
299	4385 7540 2607 4849
300	6580 7779 4686 3350
301	2837 4729 1540 2987
302	6456 4922 7807 1548
303	7051 2037 722 1692
304	4176 1678 7800 2051
305	6816 1790 1035 5740
306	4201 4061 6843 1742
307	4795 1146 3745 971
308	2533 6095 1443 2351
309	1708 6062 5116 6114
310	4909 1420 5854 3520
311	6574 4091 6913 5707
312	5915 4724 1620 5309
313	2888 7809 6322 6678
314	6640 6695 5568 7976
315	6465 5503 2259 3253
316	5026 2119 6645 3134
317	4790 4827 3658 3280
318	2740 2959 7258 2873
319	7052 426 1298 7654
320	3420 4685 1317 4232
321	2646 6145 3834 7443
322	1337 6820 4998 3362
323	3797 2208 5166 6412
324	5006 5628 3225 5038
325	7025 5869 7904 6068
326	7012 2039 5238 2625
327	552 315 618 5939
328	3284 5384 4070 3419
329	6349 7215 2728 5711
330	2273 3164 3608 234
331	356 3087 6296 3978
332	6984 5081 4926 6428
333	2528 2755 2650 6718
334	515 3693 2857 5999
335	5700 481 3678 7278
336	2757 546 2339 3198
337	6877 2911 4809 2504
338	4109 5308 5832 7089
339	386 3827 5093 6796
340	5573 6387 161 3736
341	5464 6727 3473 5256
342	7277 6701 7409 218
343	7157 1621 1237 718
344	5491 5708 4051 6433
345	1059 2949 2827 5338
346	1409 538 3276 650
347	5243 400 4574 5566
348	5440 2948 5518 7030
349	823 3443 1598 5676
350	6489 5079 3472 5841
351	5991 1717 7039 5691
352	2690 7408 4438 3861
353	4906 994 4931 2417
354	2263 6984 602 5463
355	2721 259 448 1412
356	651 988 932 4122
357	5106 1495 933 1132
358	2834 5857 4614 3621
359	973 2125 2013 6099
360	3664 1650 1531 5965
361	4744 2578 1273 7844
362	319 1027 2063 5024
363	1301 318 5387 4478
364	5438 165 6509 5200
365	916 711 7256 175
366	1225 3130 3755 6900
367	765 6447 3620 6428
368	7791 5654 3315 5369
369	265 6784 4777 5872
370	5223 2997 2688 437
371	1288 7716 456 4565
372	4356 5462 999 3996
373	5455 4236 5555 2017
374	1942 396 2186 3529
375	7018 183 362 5892
376	1889 6894 6532 1773
377	7471 1724 2059 6182
378	7467 5152 4136 4604
379	2868 3360 1699 5786
380	1863 2355 5940 3483
381	4929 6399 1530 4824
382	4184 5175 1244 3328
383	4378 3164 3445 6618
384	2985 5403 7149 5418
385	1535 1790 2504 6195
386	1634 1935 3194 7947
387	7063 4249 5876 1269
388	7293 3272 3447 6104
389	6856 352 3247 3046
390	6023 7904 644 3071
391	1399 6769 3600 3849
392	6501 1372 6477 7077
393	3561 2691 5500 415
394	60 6510 4938 7658
395	5601 4579 3369 3872
396	7238 1322 3658 4531
397	6283 1504 2951 1770
398	4762 5119 7466 1002
399	6359 7922 5056 2188
400	3839 4022 947 6582
401	3258 2271 1829 799
402	896 1588 551 485
403	3679 7630 6226 946
404	1345 3315 1843 958
405	5907 2719 3034 4114
406	1705 6917 3798 888
407	5985 7865 4674 5867
408	1374 1763 7544 7881
409	1507 3103 5209 165
410	2580 4526 1789 7043
411	7646 436 7378 5119
412	1506 2059 5162 2922
413	6107 1313 2156 7640
414	7329 697 5038 1594
415	7080 3722 234 3054
416	4854 1630 897 625
417	853 871 6002 2626
418	4708 2707 116 3664
419	5585 3233 3005 5116
420	6464 3935 5085 7657
421	874 5816 1530 2861
422	3183 4848 199 1065
423	837 7882 4181 5208
424	6006 6021 4290 3883
425	2531 3069 5056 7325
426	3212 6486 5773 800
427	5690 2056 4610 3822
428	3760 3461 2979 7655
429	2531 3358 6488 6268
430	4733 2769 4637 7416
431	1894 4727 2316 1753
432	2614 6720 2826 7529
433	6251 5787 5592 4604
434	757 7780 2794 6214
435	1920 2929 1099 3457
436	6926 253 4704 7102
437	5860 5421 7399 6646
438	1920 6488 3872 15
439	822 603 3556 2819
440	3806 1649 5836 5262
441	3134 2216 3159 950
442	3927 3908 4593 3672
443	276 5307 4823 2343
444	6822 2921 6592 4721
445	4421 3829 4737 3017
446	2401 4762 3602 409
447	1478 2977 3456 7769
448	3125 4021 297 1201
449	4723 1433 34 5493
450	3678 1560 3448 146
451	3923 5148 5705 4777
452	1541 5463 6830 2434
453	6939 7932 6704 7537
454	6069 3003 3496 5963
455	1110 7025 1487 6430
456	5144 4982 4794 127
457	4284 2009 3439 1003
458	132 615 7548 853
459	6192 835 4325 6014
460	5858 5118 3038 4048
461	7928 7374 130 1103
462	6478 5512 7962 4936
463	6608 6849 1530 7933
464	4597 639 6306 1400
465	3878 2655 6157 3197
466	3643 1208 6034 7273
467	4724 6478 6929 7310
468	6502 4715 7812 2622
469	5143 7315 2109 5373
470	558 4375 2448 2449
471	7526 7868 2393 6956
472	6781 6736 7503 788
473	7202 3012 6198 6466
474	6151 3450 5554 4076
475	6379 4375 4466 2362
476	700 4689 799 1750
477	820 7805 671 3186
478	2605 3011 3268 5369
479	5896 4352 6367 3369
480	5247 1001 4594 4193
481	6225 6609 5475 3993
482	6814 3810 6367 2959
483	2942 628 3652 3167
484	2006 4747 5296 2742
485	6698 3315 4480 7393
486	2556 6383 967 2093
487	2813 6115 1810 7296
488	768 5137 3688 1294
489	5592 5968 7524 6294
490	7925 143 1965 3381
491	1603 3915 2077 5279
492	1411 3188 5388 1718
493	817 6422 5571 2094
494	544 5852 1214 5241
495	1812 6369 3761 1574
496	1587 6474 7699 7090
497	821 1869 2257 6149
498	1102 1387 6235 2210
499	2214 3422 7331 472
500	7734 5886 3614 606
501	101 3653 3111 276
502	1732 2704 7223 1257
503	1016 6732 4588 1622
504	954 3278 1777 7348
505	2271 4774 5733 5953
506	3772 5907 147 278
507	5340 5924 166 816
508	3291 928 7163 4041
509	4723 7486 4196 5865
510	7435 2323 3712 2910
511	2071 7387 6667 715
512	7931 1714 5271 3964
513	4903 6402 6976 7463
514	5923 498 1975 1834
515	7077 30 5695 6150
516	2855 6901 2605 6179
517	2248 503 5674 4178
518	6512 7018 2387 710
519	7862 6403 5088 4667
520	7493 466 2225 4221
521	3806 5463 1814 7959
522	7145 46 1048 2913
523	660 3578 4610 6970
524	3885 6844 3151 3413
525	3561 7700 1007 785
