Students	1000
1	158 691 94 588
2	725 645 662 270
3	762 577 152 305
4	79 366 471 783
5	689 739 692 754
6	747 574 413 402
7	177 592 673 9
8	104 51 169 387
9	656 84 209 703
10	786 760 449 263
11	19 468 189 139
12	703 147 374 580
13	95 322 254 790
14	667 240 227 606
15	225 478 418 218
16	547 128 138 663
17	219 24 168 288
18	651 708 351 754
19	4 204 298 373
20	307 190 610 607
21	296 204 543 778
22	599 579 166 37
23	294 510 710 56
24	352 17 629 656
25	298 159 98 74
26	320 670 295 396
27	433 535 666 386
28	281 723 583 682
29	644 39 159 704
30	70 504 428 376
31	451 177 103 209
32	186 719 162 438
33	157 302 8 323
34	384 453 478 574
35	628 321 645 165
36	502 400 584 443
37	771 438 147 453
38	623 347 589 744
39	536 494 681 448
40	740 363 513 243
41	520 316 328 540
42	608 547 510 248
43	800 195 512 555
44	771 500 669 587
45	525 521 207 514
46	326 514 639 47
47	597 780 728 710
48	543 242 325 257
49	718 648 274 55
50	75 477 33 705
51	135 160 355 61
52	705 508 311 103
53	24 318 113 536
54	440 26 495 636
55	724 778 733 531
56	426 44 105 610
57	135 690 42 661
58	69 439 430 624
59	81 333 486 623
60	72 690 37 342
61	203 409 384 156
62	631 157 790 82
63	690 517 713 458
64	638 273 595 405
65	367 196 34 531
66	526 233 796 260
67	441 426 584 353
68	792 58 638 281
69	273 1 160 91
70	743 757 544 269
71	593 717 470 215
72	624 258 525 142
73	473 127 704 586
74	24 683 604 744
75	665 771 367 43
76	580 528 357 223
77	476 251 725 697
78	724 70 107 599
79	503 130 778 444
80	241 155 539 768
81	136 144 243 541
82	542 748 631 501
83	347 480 587 630
84	250 63 59 698
85	145 426 643 793
86	699 38 183 518
87	311 625 295 407
88	441 141 100 545
89	726 341 78 210
90	553 324 180 374
91	130 351 759 35
92	269 16 773 185
93	272 106 535 349
94	2 703 539 548
95	179 410 600 52
96	601 391 580 523
97	664 411 215 77
98	90 336 569 273
99	205 514 415 161
100	563 650 420 52
101	570 622 277 244
102	359 92 379 648
103	398 598 566 450
104	106 657 520 644
105	691 665 799 737
106	550 526 97 539
107	21 413 286 463
108	778 463 515 306
109	245 546 222 282
110	21 794 6 277
111	245 716 456 591
112	584 630 270 443
113	242 484 704 796
