Students	1000
1	4773 2277 1119 234
2	1593 78 539 6081
3	4284 467 7617 2474
4	2219 1380 1303 7379
5	1063 5167 7268 6019
6	583 3013 4138 41
7	6691 1321 5120 7364
8	1187 5387 1600 4558
9	6359 5160 7603 3360
10	3783 1837 1027 3933
11	7719 5958 7710 190
12	6304 7232 1588 4301
13	5866 3225 4113 2990
14	1234 243 7876 3069
15	774 7178 5942 6723
16	2342 3938 6191 4203
17	1565 4578 5071 6020
18	7417 1795 3357 488
19	5285 548 1093 6994
20	2523 4814 6899 3054
21	6391 1723 4760 5637
22	4479 6327 1646 3102
23	945 7113 3540 7182
24	656 217 7277 7786
25	538 289 4023 6947
26	6885 7643 88 1322
27	1293 6047 6266 3424
28	5142 5011 2199 3908
29	6781 6428 2775 1013
30	2875 3796 6675 6689
31	4519 1004 5663 6579
32	3236 4982 1490 2966
33	3737 576 1635 7095
34	2139 1224 3006 6041
35	1396 5971 7790 2963
36	1995 4519 6611 2541
37	5962 4336 3847 3148
38	5130 4027 4373 4738
39	6268 2389 238 113
40	6301 7811 3065 349
41	1789 5287 2628 6592
42	7404 5672 4636 5499
43	6976 1336 7756 4571
44	4368 7868 1158 5938
45	1825 2479 5114 1393
46	2398 2393 3547 3358
47	3640 2536 7803 4767
48	1148 3633 7789 3538
49	4997 5411 2051 1483
50	4060 1584 4164 7287
51	4202 3995 4170 1990
52	6033 3469 5914 5585
53	3067 5263 2394 6552
54	728 452 6033 5004
55	6636 2033 6840 6506
56	3262 7301 4349 2456
57	2512 3175 5965 246
58	1668 220 5771 5509
59	7731 3494 4235 5839
60	7445 1703 6560 7936
61	4685 6336 5325 6791
62	3676 3162 2726 7879
63	349 1919 10 2256
64	4594 4193 5098 1961
65	7152 686 6030 95
66	3155 5738 1363 2835
67	3074 7466 4545 2481
68	5092 3038 6346 6160
69	3126 6992 404 5332
70	5067 3132 4020 3640
71	148 6342 1302 4669
72	4984 837 4214 1733
73	5885 1095 8 7064
74	6165 6455 5718 837
75	7611 7556 6186 5677
76	6005 4168 7460 1181
77	7100 1100 1944 7922
78	3920 3900 4650 1368
79	3532 746 4086 5661
80	6755 3579 3274 3449
81	3963 2293 6163 7868
82	4548 7142 4031 2607
83	6269 2878 4738 5022
84	7418 6201 5801 3980
85	36 2567 2925 4090
86	5523 6241 6947 1830
87	2627 5596 6069 6744
88	445 1276 4233 1235
89	6714 3140 3571 1546
90	2023 2353 7869 7659
91	5853 4998 7188 7155
92	1587 4861 3162 7198
93	2212 7335 5761 2184
94	4666 1514 2492 6015
95	5350 1627 7160 126
96	1710 4016 5807 7401
97	6993 2226 2338 6891
98	1988 6783 7533 3102
99	4033 4453 7747 5762
100	1769 6730 815 2004
