Students	1000
1	536 611 675 221
2	149 63 387 299
3	83 318 665 384
4	277 259 235 264
5	589 392 768 169
6	34 708 446 274
7	320 250 571 626
8	478 779 583 41
9	529 508 707 469
10	130 786 603 612
11	308 335 795 222
12	57 419 183 164
13	179 573 76 492
14	2 625 136 514
15	30 15 555 547
16	364 757 108 295
17	277 89 786 279
18	332 295 678 489
19	626 377 50 287
20	601 337 230 163
21	155 312 266 381
22	602 169 493 255
23	353 234 594 283
24	384 3 225 400
25	171 143 179 534
26	36 498 34 100
27	100 567 140 154
28	583 117 560 115
29	151 182 428 73
30	703 777 653 489
31	237 756 492 512
32	682 505 620 93
33	544 435 490 66
34	733 660 93 519
35	386 602 298 27
36	674 632 145 698
37	348 610 654 76
38	155 386 640 800
39	280 771 138 781
40	526 31 698 581
41	495 106 787 308
42	492 497 363 563
43	90 63 614 346
44	42 86 145 87
45	775 619 9 79
46	251 792 515 581
47	411 123 124 430
48	552 415 494 638
49	166 68 109 551
50	616 305 741 495
51	665 420 53 527
52	450 120 30 393
53	264 372 473 667
54	691 253 341 130
55	517 99 453 426
56	19 783 122 277
57	474 583 553 230
58	210 134 52 203
59	270 322 743 400
60	760 255 438 259
61	256 694 466 266
62	647 532 587 401
63	425 124 115 664
64	117 534 382 694
65	38 133 617 650
66	798 6 231 779
67	582 549 774 643
68	276 356 427 263
69	793 752 491 335
70	778 150 224 441
71	336 352 527 761
72	757 424 307 694
73	108 624 731 354
74	733 599 486 346
75	50 715 317 285
76	562 234 275 579
77	168 715 316 286
78	251 417 194 439
79	57 791 81 582
80	455 49 244 231
81	112 379 666 256
82	283 122 208 718
83	378 197 343 502
84	749 218 109 649
85	313 622 259 327
86	687 544 21 300
87	552 58 166 460
88	552 384 751 486
89	156 531 732 386
90	243 217 402 104
91	75 262 324 457
92	338 326 32 686
93	200 656 181 255
94	700 369 150 512
95	479 475 721 660
96	314 403 650 269
97	669 160 14 750
98	628 348 339 800
99	653 574 515 578
100	43 535 568 549
101	366 330 701 223
102	231 152 40 114
103	431 432 770 248
104	195 88 86 60
105	333 56 344 512
106	94 506 523 761
107	462 751 92 680
108	281 409 662 263
109	781 283 631 424
110	230 743 717 404
111	169 432 274 164
112	50 767 361 718
113	793 243 91 686
114	387 543 523 732
115	622 608 7 92
116	398 251 637 201
117	115 450 416 483
118	386 579 783 387
119	141 22 488 503
120	678 779 120 434
121	170 493 563 322
122	249 530 68 126
123	233 270 561 187
124	641 178 121 518
125	783 605 3 543
126	94 307 703 388
127	497 398 47 389
128	318 469 316 739
129	557 215 633 204
130	748 146 610 462
131	491 569 489 110
132	66 735 138 231
133	197 498 316 469
134	660 234 547 611
135	395 291 757 66
136	77 106 729 368
137	310 515 768 41
138	61 695 556 752
139	480 119 362 515
140	393 626 169 365
141	594 751 749 737
142	354 615 397 654
143	391 726 304 780
144	303 741 462 574
145	324 47 86 772
146	490 548 558 441
147	268 660 308 505
148	191 783 170 338
149	264 146 278 642
150	295 352 634 376
151	325 665 281 467
152	291 377 391 696
153	705 232 420 366
154	122 419 74 700
155	483 296 440 170
156	618 751 762 8
157	163 86 184 598
158	783 140 70 116
159	299 721 332 52
160	144 279 790 381
161	231 256 201 331
162	733 466 794 476
163	385 598 411 333
164	687 618 388 574
165	722 634 791 149
166	471 23 363 672
167	341 162 401 737
168	361 207 119 58
169	602 656 158 119
170	323 16 531 490
171	426 789 76 698
172	83 53 230 720
173	440 529 628 80
174	371 595 289 221
175	762 377 316 707
176	371 582 173 65
177	684 669 431 642
178	299 326 376 390
179	107 210 70 799
180	318 492 495 426
181	676 783 798 227
182	311 217 280 602
183	403 37 266 429
184	407 772 402 431
185	338 169 699 484
186	500 365 722 660
187	314 659 310 155
188	621 435 467 23
189	220 257 564 598
190	224 663 28 152
191	374 720 214 158
192	724 314 196 108
193	647 183 529 425
194	57 430 151 77
195	157 215 800 427
196	178 284 322 502
197	69 409 553 590
