Students	1000
1	445 5415 5739 2178
2	2942 1327 6025 301
3	7777 4720 2218 688
4	561 2087 3065 6072
5	7706 6180 5510 7178
6	6962 1240 5008 886
7	7457 2125 7339 3052
8	6071 6192 2551 6508
9	6662 2037 2287 7659
10	483 3065 812 4757
11	7288 6483 3096 1691
12	1464 796 6007 979
13	1421 6586 4692 4164
14	2127 567 7552 6214
15	5602 6356 5763 3737
16	3392 4518 5297 5211
17	2338 7262 2994 3174
18	7445 6360 3935 7132
19	5630 3715 5550 3161
20	2702 2418 3311 6775
21	3780 2673 188 248
22	1887 798 2195 4373
23	1444 4346 6345 3551
24	608 4790 257 5499
25	7861 4059 7854 5975
26	1937 4275 321 5347
27	7354 5579 1394 2021
28	2782 5823 650 1607
29	5656 5771 5597 5893
30	4423 4340 4866 5408
31	3327 7250 4687 6430
32	4402 2520 5261 6268
33	5437 3689 830 3530
34	6044 7034 1618 6711
35	6927 1799 3841 39
36	1166 4302 2325 7192
37	7463 6471 7695 1727
38	1149 3851 1408 209
39	4332 5402 6251 1783
40	7334 5684 6276 7933
41	2849 2554 5897 3394
42	3786 7739 2339 2436
43	2945 2062 302 4305
44	7800 445 2291 5564
45	4056 7802 6236 2864
46	6063 1534 7730 730
47	6132 2541 7418 5914
48	5250 5685 942 5371
49	4511 711 7614 4987
50	2854 4246 1028 6562
51	626 6065 2718 2611
52	5419 2185 1207 5222
53	6924 2078 297 7137
54	6869 6592 5000 2616
55	1119 6686 4089 359
56	1487 3469 6146 4279
57	5791 6041 4226 1278
58	4133 1193 2463 3285
59	6580 4221 7419 5736
60	4644 3985 5519 4687
61	3655 7390 5140 7239
62	1894 6834 1852 2235
63	4824 5671 7810 3128
64	1852 6795 1614 927
65	6622 4068 5302 6377
66	3002 4191 4888 6693
67	3870 5021 4519 639
68	3846 5197 4581 1460
69	2689 7754 7617 6760
70	6777 6442 3644 118
71	6611 3337 1431 4843
72	4385 2670 5548 1331
73	395 1443 1900 1035
74	2414 2161 280 4908
75	7341 5055 836 2560
76	1806 5563 1797 2396
77	7347 926 103 4145
78	2939 5893 4731 2802
79	2651 378 6293 5798
80	3900 4926 6286 3815
81	6129 3077 1262 42
82	1763 5839 7638 633
83	3243 1684 4356 2023
84	3142 5882 7799 7476
85	3147 5859 955 4548
86	7846 32 7779 3084
87	3184 3845 955 5913
88	7310 4969 1997 4998
89	3926 6936 2048 5540
90	5527 2428 7315 110
91	1128 4375 6208 2747
92	4526 1828 7661 2987
93	2395 1828 1511 7592
94	7032 6310 2104 6675
95	2055 5304 7440 7598
96	7736 5673 403 1172
97	1701 4485 2091 2242
98	7694 6412 4376 2473
99	2029 685 4193 2465
100	5684 6925 2132 110
101	6061 3206 3611 7043
102	7927 7172 1051 5267
103	538 3651 5021 3526
104	1389 6434 6539 5093
105	5206 6799 2691 6547
106	3969 2521 980 1525
107	6922 907 7824 647
108	1170 4681 6914 2916
109	6937 1895 7657 6381
110	3447 2605 6390 3999
111	1435 4589 3536 1310
112	3242 7380 2538 2180
113	7321 4317 5436 5575
114	3765 860 1809 3901
115	5467 5370 4913 5130
116	4924 1874 5963 5761
117	6072 5416 3201 6287
118	1379 836 7761 3338
119	1459 749 234 1085
120	1478 4739 3447 2118
121	631 268 5559 6099
122	5967 183 512 3656
123	5036 2394 5677 1656
124	7617 3000 6822 95
125	6493 6656 6063 24
126	3536 7196 5134 3359
127	1901 480 152 1997
128	6720 5362 1085 5863
129	1294 1733 1818 5387
130	6491 7338 7193 5245
131	12 902 386 2313
132	6767 5871 1989 2672
133	4207 1267 1981 4738
134	2703 7132 2312 2433
135	1573 5286 22 1599
136	45 398 7915 4060
137	171 4387 2916 7949
138	1609 4850 922 2917
139	5380 5693 2533 885
140	1643 6371 309 5173
141	4478 726 797 4654
