Students	1000
1	497 474 242 417
2	198 621 196 191
3	253 238 542 167
4	681 264 172 133
5	402 434 115 151
6	535 455 768 627
7	54 635 354 738
8	586 470 141 499
9	588 258 132 171
10	617 464 699 701
11	102 427 668 111
12	333 470 695 751
13	761 189 324 280
14	2 138 11 711
15	328 4 415 137
16	748 76 376 747
17	52 758 574 599
18	38 79 514 75
19	275 258 653 346
20	131 141 282 146
21	652 138 636 360
22	304 241 375 344
23	153 644 752 712
24	129 360 367 753
25	553 228 312 1
26	356 713 245 438
27	68 226 727 647
28	315 105 620 418
29	186 436 413 64
30	219 495 235 26
31	314 796 418 630
32	209 237 495 151
33	743 751 507 200
34	474 275 786 34
35	221 142 63 269
36	487 14 544 706
37	174 675 72 186
38	570 248 708 620
39	451 539 543 395
40	109 222 30 277
41	254 796 279 256
42	610 199 257 357
43	230 147 247 205
44	719 668 477 370
45	702 375 609 648
46	47 476 506 606
47	406 785 51 640
48	248 349 533 707
49	551 534 725 470
50	529 298 81 8
51	231 175 136 614
52	265 36 500 192
53	761 416 620 191
54	343 392 134 253
55	741 114 562 93
56	619 796 703 430
57	650 298 237 257
58	84 432 600 490
59	650 669 106 227
60	702 182 467 412
61	155 234 11 537
62	203 262 628 320
63	418 266 89 531
64	486 16 657 48
65	102 607 705 700
66	71 572 230 324
67	14 149 97 537
68	273 697 159 789
69	67 768 399 232
70	390 423 430 492
71	41 692 724 698
72	685 362 58 593
73	46 139 214 184
74	609 470 163 290
75	130 438 640 761
76	658 626 682 691
77	289 758 203 171
78	769 103 407 334
79	678 150 311 413
80	154 28 81 192
81	323 49 629 307
82	628 131 600 206
83	634 738 79 785
84	154 513 299 413
85	724 392 25 395
86	303 445 611 784
87	226 160 517 50
88	664 481 16 141
89	257 657 76 65
90	471 686 136 426
91	96 155 385 481
92	69 129 310 124
93	349 717 321 568
94	366 137 377 165
95	566 306 486 601
96	183 206 120 16
97	305 472 304 324
98	18 479 275 471
99	98 286 357 610
100	738 325 568 40
101	446 797 569 536
102	572 37 562 328
103	263 198 490 707
104	40 745 702 617
105	166 379 548 562
106	725 338 293 787
107	679 252 618 94
108	350 566 237 626
109	495 218 318 559
110	323 412 329 130
111	447 485 767 681
112	712 647 250 729
113	161 577 676 292
114	769 69 437 30
115	337 586 797 478
116	189 590 192 29
117	739 158 131 22
118	62 771 65 625
119	248 114 748 299
120	226 116 201 680
121	272 429 763 525
122	138 268 282 206
123	377 502 356 698
124	152 255 334 610
125	203 428 626 256
126	306 443 799 607
127	657 680 372 375
128	766 753 349 88
129	516 749 141 341
130	167 542 591 792
131	62 490 189 749
132	480 478 650 618
133	116 201 61 80
134	132 427 224 42
135	474 438 498 355
136	75 110 651 300
137	209 405 165 644
138	224 234 42 480
139	676 421 286 539
140	635 461 630 113
141	564 38 543 232
142	540 212 243 388
143	742 720 590 607
144	145 779 380 425
145	44 299 683 749
146	523 300 357 202
147	752 2 383 491
148	371 315 407 108
149	789 226 649 38
150	710 81 502 532
151	647 181 485 763
152	93 535 470 418
153	671 67 794 724
154	182 419 271 75
155	728 378 578 295
156	463 572 367 45
157	750 411 608 774
158	288 724 539 138
159	711 536 371 594
160	689 314 79 391
161	301 785 39 254
162	730 185 290 607
163	260 462 540 682
164	167 762 776 380
165	103 185 359 562
166	304 119 668 290
167	788 191 528 634
168	556 745 744 343
169	356 354 135 203
170	588 194 361 680
171	413 43 732 386
172	316 90 354 51
173	298 509 387 242
174	161 473 664 534
175	32 83 688 37
176	178 563 457 96
177	633 442 44 159
178	407 228 88 532
179	290 33 62 549
180	281 765 567 528
181	403 164 636 40
182	305 656 213 199
183	691 566 469 389
184	749 549 105 275
185	496 88 280 160
186	747 600 66 787
187	676 535 266 472
188	743 564 64 373
189	78 781 362 428
190	748 157 476 49
191	240 62 236 374
192	60 301 290 608
193	467 737 554 760
194	87 67 116 202
195	324 447 701 183
196	316 648 548 190
197	727 397 401 447
198	752 176 289 221
199	155 17 379 146
200	577 333 148 478
201	716 69 290 376
202	518 459 547 546
203	166 475 329 87
204	86 646 725 768
205	268 385 443 179
206	236 292 212 554
207	69 73 498 750
208	141 242 126 758
209	220 533 752 174
210	166 675 288 474
211	312 565 605 649
212	577 399 8 313
213	788 104 499 554
214	117 684 432 502
215	101 662 491 573
216	104 538 307 135
217	199 205 366 103
218	747 444 268 387
219	612 151 61 123
220	352 780 368 768
221	666 460 586 99
222	372 728 119 645
223	568 603 744 444
224	87 544 299 733
225	235 759 450 63
226	242 649 442 285
227	413 15 203 317
228	632 769 347 431
229	380 785 602 231
230	233 757 232 584
231	270 530 224 173
232	570 754 260 215
233	268 155 148 211
234	708 620 483 612
235	282 568 703 3
236	353 3 14 453
237	791 633 12 283
238	108 182 585 32
239	160 522 76 524
240	106 468 292 390
241	65 37 161 18
242	413 790 519 88
243	512 140 298 364
244	442 784 483 37
245	706 491 134 278
246	35 384 358 293
247	785 357 323 640
