Students	1000
1	3747 4942 6807 9493
2	1875 8608 4939 3374
3	8491 695 4899 37
4	4404 4412 1707 3596
5	3890 245 6810 818
6	1692 6719 7216 8303
7	2682 8158 4298 2260
8	4434 3731 2397 2941
9	8586 5495 7035 9975
10	5125 5785 1644 9184
11	148 7076 8741 2051
12	4236 9003 7481 790
13	6151 7557 770 2594
14	7450 3489 5549 7663
15	3941 9398 3544 6106
16	2291 5082 3399 7105
17	6069 6194 613 252
18	7881 3327 8623 8737
19	9903 4218 2309 9047
20	7280 6019 6696 3572
21	9517 3563 5986 4557
22	7871 2457 6568 8351
23	9087 7770 7657 2857
24	1610 3348 2547 3388
25	2267 7482 5462 9152
26	3607 5239 4264 5896
27	2569 9307 8856 7743
28	4453 1252 2663 1058
29	5653 5831 8677 4811
30	8996 7969 8827 9942
31	5598 6502 2301 5894
32	1864 365 4211 6768
33	3746 1990 5007 5342
34	7911 2817 5399 8020
35	472 6517 3336 2074
36	3996 4472 3813 2405
37	7414 3688 8777 4481
38	7014 1467 1027 3778
39	64 1348 395 7493
40	1959 6855 3263 8800
41	8423 141 3199 6476
42	2915 1490 4478 7322
43	6422 8606 4929 5903
44	9369 5550 6033 6257
45	9249 4872 7785 5553
46	9988 927 2345 7078
47	1331 1344 3103 3360
48	6114 9269 6186 2945
49	6765 4086 6450 1972
50	7602 9114 4289 3981
51	8284 3080 7741 5611
52	4378 8256 3799 8214
53	455 2992 6037 4843
54	8074 4250 2786 1315
55	7747 6637 1485 9533
56	9476 6811 3478 417
57	8344 4949 7488 4429
58	9139 706 5203 6026
59	150 7935 4662 7581
60	518 6768 5097 1298
61	6277 816 4387 9103
62	7200 1598 8585 9835
63	3511 8378 3816 6685
64	8456 3665 8336 1526
65	8739 8399 6113 4672
66	180 4623 9975 958
67	5111 1954 9394 5551
68	1552 9870 5132 4434
69	1863 4371 5304 6256
70	1235 1665 7644 9754
71	9124 5690 3565 6794
72	793 1420 6641 7542
73	1793 3543 1887 5425
74	7139 5188 1069 4146
75	4634 4593 1635 2863
76	312 7840 3820 3933
77	4075 2879 8381 7769
78	7623 6908 9 3094
79	935 4708 3045 7202
80	341 6680 3218 8052
81	2224 133 3714 8629
82	4447 6767 5536 8977
83	9539 426 433 4583
84	2730 7048 2084 2990
85	6147 9491 5261 7151
86	1508 2710 8381 2188
87	4801 4681 7717 7063
88	1592 8881 9399 8839
89	3578 9100 1356 1382
90	9776 4276 2418 3756
91	7577 3158 703 4513
92	4089 7230 1923 4180
93	189 7865 8977 9591
94	3320 5500 3677 4339
95	8834 6154 6167 1159
96	8914 3294 6865 5262
97	6545 1405 3852 5515
98	5252 5152 7700 374
99	2610 4220 7908 2080
100	2506 6478 5279 9972
101	2558 9542 2701 7726
102	4845 4807 619 739
103	261 6216 740 6115
104	5525 4229 2781 6137
105	2619 211 9848 5806
106	9634 7756 1795 9726
107	390 921 5901 4113
108	4645 8905 6693 6245
109	7062 7164 2915 8542
110	8776 4270 8368 4644
111	1381 5816 3848 3986
112	7186 3434 1220 3144
113	8115 1375 4851 1817
114	6474 1225 4578 8894
115	5948 9182 2935 6496
116	8643 23 4747 3810
117	1031 8492 1989 6408
118	6732 6585 1197 3805
