Students	1000
1	514 880 19 763
2	820 370 595 424
3	701 111 595 32
4	856 524 735 517
5	997 650 362 760
6	311 772 547 694
7	152 785 838 733
8	690 628 942 366
9	305 459 759 928
10	382 817 2 280
11	530 660 291 94
12	918 58 595 155
13	917 194 520 765
14	218 11 162 98
15	890 431 984 491
16	515 550 22 935
17	354 587 832 631
18	877 761 117 735
19	663 610 299 613
20	400 858 189 849
21	192 535 950 225
22	757 239 84 278
23	922 717 52 158
24	753 234 254 242
25	54 716 523 714
26	951 720 568 425
27	98 708 126 332
28	209 655 200 470
29	304 244 972 323
30	220 766 738 963
31	553 817 935 24
32	710 73 624 319
33	53 207 290 375
34	2 671 709 686
35	241 810 728 786
36	87 213 7 248
37	347 184 929 56
38	134 819 700 63
39	946 863 26 998
40	664 731 62 883
41	651 97 652 392
42	220 887 272 239
43	850 526 685 429
44	736 975 461 978
45	982 512 198 813
46	21 100 158 387
47	521 373 12 578
48	986 632 166 296
49	543 327 10 840
50	426 988 898 662
51	321 473 132 494
52	279 166 537 69
53	570 329 236 942
54	8 86 530 887
55	746 688 530 437
56	831 392 410 30
57	584 849 51 666
58	995 511 50 596
59	56 850 721 519
60	666 979 62 580
61	293 207 776 669
62	676 833 230 615
63	235 733 654 750
64	326 430 517 395
65	718 185 747 371
66	698 137 425 34
67	478 854 776 216
68	404 209 199 125
69	79 736 931 728
70	549 602 676 659
71	70 562 326 682
72	712 585 363 294
73	794 828 793 55
74	161 829 657 692
75	144 915 465 174
76	108 43 20 753
77	183 549 167 70
78	783 351 293 624
79	50 125 130 341
80	267 330 268 316
81	727 892 128 584
82	535 44 118 572
83	284 582 750 648
84	929 469 247 432
85	988 842 136 523
86	300 400 678 562
87	222 738 185 699
88	423 339 134 7
89	518 680 933 191
90	878 855 551 486
91	117 358 527 246
92	481 621 899 743
93	381 631 972 966
94	541 643 811 727
95	92 916 646 670
96	641 231 732 606
97	104 256 355 848
98	417 877 976 680
99	95 154 600 11
100	778 542 356 282
101	191 247 564 526
102	357 810 793 674
103	38 70 294 818
104	529 986 658 739
105	512 490 454 912
106	190 495 388 19
107	600 856 18 395
108	671 881 328 261
109	193 572 300 290
110	532 285 627 176
111	408 564 732 224
112	721 537 449 560
113	836 102 869 533
114	562 893 738 274
115	573 500 247 631
116	292 8 236 829
117	180 509 788 40
118	419 966 522 486
119	809 640 664 986
120	10 38 352 861
121	534 194 711 338
122	127 377 702 975
123	591 565 699 995
124	997 60 504 585
125	603 197 38 510
126	223 690 248 422
127	95 701 791 873
128	234 311 259 634
129	530 762 178 883
130	481 512 728 357
131	880 877 101 468
132	319 409 259 815
133	271 452 633 654
134	402 689 11 790
135	537 463 791 614
136	414 965 301 588
137	642 703 386 369
138	382 542 879 881
139	778 629 216 286
140	419 61 943 919
141	627 962 360 444
142	703 616 375 633
