Course	Room	Teacher	Time	Students
48	133 - B, 0	136	2	4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 4645 4498 4363 4286 4095 4011 3792 3721 3630 3482 3122 2689 2624 2589 2583 2416 2357 2198 2158 1915 1749 1650 1351 1245 715 458 367 298 42 
104	1 - B, 0	298	1	4536 3523 2425 2255 962 4466 4266 3126 2117 2097 1061 362 3988 3591 2180 1649 4958 4797 3206 3133 2127 1575 545 
995	1 - B, 0	268	2	4031 4497 4489 3670 2080 1612 1089 5 3876 3726 3174 1992 1726 4547 4390 3588 3196 3104 2987 2020 1264 1097 
985	1 - B, 0	326	3	3743 3092 3085 1449 1250 875 763 4963 2594 2461 1135 646 4993 4698 2398 1381 4807 3711 3186 1448 1098 790 
981	1 - B, 0	202	4	3967 3161 1033 751 724 441 4718 4358 4301 3730 3036 1920 1734 1350 3859 3467 3037 2818 1307 1059 89 1958 
773	2 - C, 1	299	1	4462 1717 965 837 138 8 4577 2656 1577 629 4682 3945 3666 2668 2582 1440 1192 568 2788 1302 
760	2 - C, 1	42	2	4383 3506 2733 1323 4192 3811 3767 2705 2639 2227 3698 3533 3046 2651 607 284 2050 1563 583 
664	2 - C, 1	49	3	3914 1758 1720 562 4342 3840 3662 3540 2789 615 4980 4721 3158 2301 2051 696 3254 3062 2400 1954 
702	2 - C, 1	437	4	2240 1598 746 121 4707 4454 3707 1477 908 519 109 4448 4259 3647 2763 2451 1850 399 38 4463 
42	3 - B, 0	289	0	4958 4860 4831 4807 4614 4543 4515 4002 3794 3371 3291 3144 3110 2970 2737 2524 1983 1939 1672 1341 1236 1211 1062 999 820 526 268 162 127 6 
796	3 - B, 0	366	1	4102 3850 3709 2217 1603 4789 4754 4491 3889 3414 2968 1298 989 132 4556 3468 1884 1490 966 4625 4469 3039 2600 1467 703 332 
698	3 - B, 0	445	2	4451 3810 2603 2472 2064 558 473 91 4039 3796 3531 3023 2076 1693 995 4604 4120 3992 3897 3290 4011 2772 1844 1567 1555 1069 
655	3 - B, 0	309	3	4857 4711 3798 1533 1502 1452 4880 4428 3955 3379 2287 1752 342 1140 731 673 571 283 4815 4199 3977 2851 1899 1675 679 585 
578	3 - B, 0	135	4	4975 4418 3437 3175 2966 2168 1571 1124 616 4630 4454 4411 3257 3256 2911 2639 1102 573 3040 2359 317 4668 2996 2923 628 232 
13	175 - C, 1	357	0	4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 4945 4446 4368 4311 4214 4125 3791 3781 3764 3418 3308 2775 2723 2631 2502 2480 2094 1935 826 776 742 613 583 482 112 
247	5 - C, 1	159	1	4995 4661 3624 1152 637 229 4835 3447 2423 863 725 3956 3218 2038 1968 663 626 1268 936 517 353 
221	5 - C, 1	389	2	4606 3832 3069 2303 2042 1178 880 291 141 4526 3854 3650 3280 3151 2447 2297 1473 741 225 145 2454 
188	5 - C, 1	418	3	3798 3346 2938 2462 1232 738 1995 102 4610 4022 3979 2225 1909 1780 1746 652 46 4250 2267 332 275 
141	5 - C, 1	119	4	4558 3838 3668 2551 2142 1164 4578 4358 2411 1445 3634 3442 2731 78 4379 4114 3816 2899 1718 920 732 
327	6 - C, 1	303	1	3800 3736 3499 2663 2520 4968 4750 4595 3195 3136 2381 1573 996 987 4485 4107 3562 3226 2833 2431 3814 3580 2285 1821 135 
274	6 - C, 1	92	2	4386 1392 1184 269 4932 4660 3379 2133 1857 1703 1671 1278 4999 4783 4716 4346 4338 4189 3969 1633 355 3792 3605 1849 1020 
287	6 - C, 1	33	3	4479 3156 2534 2402 1945 555 486 274 4203 3549 3279 1227 541 460 3535 3486 3304 2447 2275 1956 1396 1269 4371 2157 1412 
259	6 - C, 1	5	4	4854 3496 2355 2323 1602 1277 1050 783 657 4607 2648 1967 1227 22 3467 3082 2574 867 4982 4516 3614 3260 495 350 303 
