Course	Room	Teacher	Time	Students
81	1 - B, 0	98	5	1950 1947 1571 1491 1063 868 610 527 367 96 1969 1346 837 810 673 649 497 366 142 66 1685 1627 1518 1096 815 505 493 1939 1880 1802 1760 1693 1598 1594 596 541 
69	1 - B, 0	37	3	1814 1789 1765 1603 1537 1412 1224 1133 1127 1086 1004 657 626 545 336 295 63 1522 1326 1062 1049 756 603 165 118 101 1924 1887 1865 1830 1166 1083 713 1609 1539 1422 1273 786 557 95 
78	1 - B, 0	50	4	1959 1652 1418 1268 1248 1194 1175 734 544 527 469 410 228 109 70 26 1815 1754 1463 1243 1239 856 796 630 623 1808 1530 1420 1348 1111 1025 743 1980 1842 1531 1334 926 842 
173	1 - B, 0	112	1	1205 1116 1057 1030 813 782 449 109 10 1848 1811 1754 1714 1604 1239 932 900 700 636 554 509 478 354 342 153 38 32 22 1523 1430 1373 1321 964 639 436 373 297 183 1599 1107 473 389 325 310 
48	1 - B, 0	100	6	1589 1126 758 327 220 144 1919 1444 1328 619 604 548 540 520 510 318 1036 896 772 705 551 533 503 433 401 392 330 198 190 44 1618 1283 836 832 549 51 
99	1 - B, 0	66	2	1819 1676 1241 1015 506 456 379 314 205 1798 1661 1619 1409 1386 1200 1135 863 681 101 1767 1442 1254 1199 1140 1038 987 984 953 946 620 309 1794 1609 1214 1100 1034 757 723 328 274 243 
130	1 - B, 0	80	8	1571 1552 1527 1165 1051 843 534 530 379 374 248 231 125 1563 1201 1136 1085 811 643 617 522 252 168 1914 1857 1722 1473 1236 1158 1111 866 551 448 1862 1559 
218	1 - B, 0	24	7	1978 1889 1849 1499 1252 1011 564 164 1864 1781 1750 1446 943 760 660 510 38 1741 1543 1509 1270 690 679 182 116 1297 1246 835 577 414 177 135 131 98 92 
9	1 - B, 0	58	0	847 1992 1938 1896 1894 1880 1845 1829 1773 1758 1682 1620 1601 1580 1569 1566 1554 1414 1356 1305 1294 1238 1173 1034 1027 1016 976 952 852 817 757 682 587 557 504 430 414 396 311 289 282 221 188 119 108 40 5 
66	1 - B, 0	52	9	1993 1978 1955 1358 858 685 648 621 379 296 204 104 63 1833 1674 1425 603 520 370 219 142 29 1747 1685 1028 826 591 590 570 375 1872 1582 926 572 261 
