Course	Room	Teacher	Time	Students
26	1	9	0	3 6 21 42 58 98 150 164 168 178 187 195 196 219 227 230 236 248 254 258 263 296 312 324 342 351 363 371 380 409 455 458 461 488 494 500 
20	1	24	3	16 21 42 94 115 126 134 142 145 153 182 192 215 216 248 271 276 278 280 313 315 337 350 395 396 398 411 427 436 437 454 456 470 474 476 489 
10	1	18	2	19 35 40 59 81 97 111 113 124 134 139 160 185 223 237 273 274 281 282 295 299 318 319 331 337 340 346 366 368 374 375 401 413 424 461 491 496 
6	1	7	1	2 13 22 36 44 51 57 80 83 84 98 109 141 152 156 159 202 221 225 233 240 245 257 264 269 274 285 303 311 338 346 370 395 406 417 444 450 
27	1	12	4	2 15 17 22 29 50 58 79 96 111 137 163 171 174 179 184 189 207 234 282 290 307 331 346 364 379 385 402 409 412 435 436 451 452 456 483 496 
41	2	23	0	16 22 43 52 95 103 107 109 128 140 143 180 188 201 208 218 220 227 272 278 323 349 356 360 368 376 404 406 411 414 439 453 457 462 
18	2	15	1	25 27 30 31 66 91 109 140 151 182 194 197 220 221 240 249 262 310 320 332 337 338 354 357 363 371 381 383 407 409 422 433 481 483 492 
50	2	4	2	7 37 47 49 50 63 77 99 144 147 152 160 168 209 239 250 254 269 281 285 314 323 341 348 361 372 378 383 384 388 397 441 461 474 487 
16	2	15	3	8 17 32 34 49 57 134 171 181 183 191 214 216 221 227 230 231 235 251 257 268 280 297 299 319 324 331 368 373 391 417 431 435 478 485 500 
38	2	4	4	23 45 55 56 59 70 90 103 127 144 150 166 173 177 198 210 216 247 260 277 280 288 294 295 302 306 312 375 404 421 442 456 483 487 490 491 
47	3	13	0	16 18 28 29 35 40 70 75 76 83 85 90 103 123 139 143 164 172 175 181 
42	3	8	1	24 33 44 55 56 67 88 95 98 100 107 120 126 127 137 142 150 153 154 177 
21	3	11	2	60 75 77 82 89 97 110 114 119 133 138 158 164 167 179 184 188 209 232 240 
32	3	20	3	2 11 17 40 52 53 67 77 79 99 102 104 106 141 145 151 162 164 165 167 
28	3	3	4	15 17 20 35 47 71 72 105 106 111 116 119 128 136 139 141 147 150 153 174 
1	4	6	0	10 14 21 43 78 81 84 93 105 121 122 127 129 162 170 198 205 229 235 243 263 265 279 282 287 297 307 309 324 340 350 351 394 395 430 437 449 459 476 484 
14	4	19	1	12 18 24 41 45 68 76 87 101 117 124 132 135 141 173 175 181 199 223 224 245 251 255 271 276 296 300 305 322 334 381 386 387 425 443 452 453 455 467 489 
34	4	1	2	4 15 16 21 28 53 55 77 92 100 114 131 137 138 143 149 156 173 174 191 202 213 239 248 272 279 284 298 303 318 344 359 370 372 408 458 459 467 482 493 499 
40	4	23	3	1 4 25 64 104 112 121 130 140 152 154 166 173 178 199 205 219 222 234 256 262 294 335 336 341 342 364 366 381 382 386 393 438 444 484 486 493 494 498 499 
9	4	2	4	6 9 37 61 75 99 106 112 144 145 157 180 187 199 203 211 227 229 243 248 250 252 277 298 307 311 315 317 329 344 349 358 386 399 405 410 435 443 453 473 478 482 
5	5	24	0	7 9 26 67 68 101 110 121 132 163 176 178 191 195 212 236 242 246 265 268 306 311 319 325 334 338 354 356 391 401 411 416 436 442 451 454 464 490 497 
17	5	18	1	6 13 22 24 56 67 88 100 130 136 145 148 157 171 193 208 209 212 218 222 224 229 256 261 273 316 326 329 387 389 391 396 400 408 417 427 440 441 465 
